# file 'zone_evolution_H_crash.dat'
# Time (yr)               Neutral Fraction         T [K]         
  1.000999999999995E-004  0.994535973700179        346.071106245993     
  2.000000000000090E-004  0.989132478008085        589.192599811218     
  3.000000000000229E-004  0.983873491687995        825.118625651931     
  4.000000000000367E-004  0.978315794117314        1070.93029399072     
  5.000000000000506E-004  0.972811519696926        1315.67177606748     
  6.000000000000645E-004  0.967334318975151        1552.67128179531     
  7.000000000000783E-004  0.961797023697947        1778.25259409819     
  8.000000000000922E-004  0.956701776106463        2000.82349476006     
  9.000000000001061E-004  0.951435421615096        2217.37204486375     
  1.000000000000120E-003  0.946083587693238        2430.38145259567     
  2.000099999999150E-003  0.897814505451181        4457.43740334728     
  3.000000000000252E-003  0.849668311622914        6261.54978168782     
  4.000000000001547E-003  0.805040429103769        7847.23867890966     
  5.000099999998992E-003  0.763147189176268        9255.47475409521     
  6.000099999995660E-003  0.721717034372313        10510.0814011023     
  7.000099999992329E-003  0.683857490660825        11643.3676807117     
  8.000099999988998E-003  0.647031276894171        12677.8840316020     
  9.000099999991818E-003  0.613199813350846        13612.5947626999     
  1.000009999999774E-002  0.581432723000543        14460.3257317576     
  2.000000000005697E-002  0.339067184328264        19956.4391258597     
  3.000000000011619E-002  0.196694466840451        22561.2774273347     
  4.000000000017541E-002  0.114352243262951        23925.8499103026     
  5.000000000023463E-002  6.666392939365351E-002   24677.2987716739     
  6.000000000029386E-002  3.860756565679913E-002   25097.0346800624     
  7.000000000035309E-002  2.246831433451590E-002   25336.3396112297     
  8.000000000041231E-002  1.309171926035158E-002   25474.9390736717     
  9.000000000047154E-002  7.602252685807609E-003   25555.5976121884     
  0.100000000000531       4.409307799952522E-003   25601.7760280066     
  0.200000099991257       1.892783308876655E-005   25664.8600723671     
  0.300000099977042       1.931552656708746E-007   25665.1349514073     
  0.400000099962828       1.113015214437851E-007   25665.1390142340     
  0.500000099948614       1.106123741489995E-007   25665.1418986145     
  0.600000099934400       1.101565556549389E-007   25665.1447659521     
  0.700000099920186       1.101133692005263E-007   25665.1475663819     
  0.800000099905972       1.101353415133843E-007   25665.1503842045     
  0.900000099891758       1.101611696308069E-007   25665.1532052663     
   1.00000009987754       1.095585752119987E-007   25665.1560951993     
   1.10000009987754       9.155462843413176E-008   25665.1581000362     
   3.10000009987754       1.056627608742033E-007   25665.2176471622     
   5.10000009987754       1.024186001563621E-007   25665.2710944827     
   7.10000009987754       1.218524939838872E-007   25665.3312868336     
   9.10000009987754       8.340564816577967E-008   25665.3878820041     
   11.1000000998775       9.083203034165876E-008   25665.4506794727     
   13.1000000998775       1.060310323985902E-007   25665.5091512571     
   33.1000000998775       9.608780782155435E-008   25666.0636069162     
   53.1000000998775       9.323747285350237E-008   25666.6346087292     
   73.1000000998775       1.035767862589410E-007   25667.1741592488     
   93.1000000998775       1.282782279288242E-007   25667.7474307775     
   113.100000099878       9.745856277554310E-008   25668.3156861490     
   133.100000099878       1.038195891478466E-007   25668.8866955587     
   333.100000099877       1.008149194126062E-007   25674.5105631281     
   533.100000099878       1.128444092612924E-007   25680.2079962827     
   733.100000099878       1.112161712724102E-007   25685.8809976991     
   933.100000099878       1.170398697958319E-007   25691.5644153077     
   1133.10000009988       9.499744424434908E-008   25697.2097334474     
   1333.10000009988       1.014897921258751E-007   25702.8156041430     
   3333.10000009988       1.191492845498132E-007   25758.5890136389     
   5333.10000009988       1.114371426247374E-007   25814.1761202729     
   7333.10000009988       1.137237967130389E-007   25868.9094863346     
   9333.10000009988       1.185066222930686E-007   25923.1874873332     
   11333.1000000999       1.024245042113847E-007   25976.7337376082     
   13333.1000000999       1.151002526622591E-007   26029.9900033824     
   23333.1000000999       1.159652143201129E-007   26288.2341211198     
   33333.1000000999       9.213379936756638E-008   26533.2626178223     
   43333.1000000999       7.641507859812435E-008   26767.4634141471     
   53333.1000000999       9.949866341951719E-008   26990.4281867354     
   63333.1000000999       8.316032296118436E-008   27202.2330949538     
   73333.1000000999       1.000607067203063E-007   27404.9221167136     
   83333.1000000999       9.741775153226939E-008   27597.9960435042     
   93333.1000000999       1.187392673074328E-007   27782.0483106039     
   103333.100000100       1.123870596586585E-007   27958.5695158632     
   113333.100000100       1.053723783783767E-007   28126.8594774698     
   123333.100000100       1.063569290415955E-007   28287.5978339589     
   133333.100000100       7.847489158496757E-008   28441.7364233801     
   143333.100000100       1.067344805871784E-007   28588.9107741851     
   153333.100000100       1.008204508767818E-007   28729.6242422633     
   163333.100000100       1.042029005304812E-007   28864.5197866259     
   173333.100000100       9.602102357675335E-008   28993.8200636040     
   183333.100000100       1.075437429109982E-007   29117.3435843537     
   193333.100000100       1.141894478973171E-007   29236.1091091843     
   203333.100000100       1.092802746072152E-007   29349.4952561474     
   213333.100000100       8.952333219180986E-008   29458.2953204450     
   223333.100000100       1.064601229394668E-007   29562.5407987275     
   233333.100000100       1.142098219331089E-007   29662.4318606017     
   243333.100000100       1.043698065750220E-007   29758.7800328643     
   253333.100000100       1.350690942425459E-007   29851.0188274468     
   263333.100000100       7.877047525362002E-008   29939.1101098346     
   273333.100000100       1.186125072605293E-007   30024.6986643461     
   283333.100000100       1.072542428204315E-007   30106.3707100787     
   293333.100000100       1.017967035110701E-007   30184.4102317945     
   303333.100000100       7.466675544520740E-008   30259.6347573658     
   313333.100000100       8.714448507252115E-008   30331.3698067227     
   323333.100000100       7.320716255421189E-008   30400.9136857790     
   333333.100000100       8.344848922980930E-008   30467.3448141781     
   343333.100000100       1.231157360503943E-007   30531.1487736587     
   353333.100000100       1.053711412568603E-007   30592.4948069728     
   363333.100000100       9.276166479388337E-008   30651.6352102220     
   373333.100000100       1.051603818469360E-007   30708.3543979571     
   383333.100000100       1.129171748326385E-007   30763.0358871503     
   393333.100000100       8.358962966248384E-008   30815.6611206891     
   403333.100000100       9.665861633312289E-008   30866.0707434241     
   413333.100000100       1.283988386724388E-007   30914.3293431485     
   423333.100000100       8.509353799368569E-008   30960.8595677777     
   433333.100000100       9.213840301836029E-008   31006.2527867546     
   443333.100000100       1.115986282274051E-007   31049.5379790737     
   453333.100000100       9.113359733525783E-008   31091.3404738705     
   463333.100000100       8.201090317960791E-008   31131.0064334859     
   473333.100000100       8.027226794382614E-008   31169.5644814978     
   483333.100000100       8.979039956003021E-008   31206.6636382871     
   493333.100000100       1.112922535240202E-007   31242.1050303170     
   503333.150000100       6.906027159754635E-003   23307.3019270277     
   513333.200000100       8.017502509937791E-002   12317.2993643260     
   523333.100000100       0.165370013998171        10308.4619018223     
   533333.150000100       0.242457126474031        9393.74160848424     
   543333.200000100       0.309803195685216        8831.88665611520     
   553333.100000100       0.368174333476727        8437.13037894136     
   563333.150000100       0.418794656482586        8138.14112057956     
   573333.200000100       0.462858313791076        7900.71630289639     
   583333.100000100       0.501408041066953        7705.99542669360     
   593333.150000100       0.535319792255341        7542.52135769260     
   603333.200000100       0.565315399343906        7402.83837556564     
   613333.100000100       0.591988416765838        7281.82266677783     
   623333.150000100       0.615828216352327        7175.79816886800     
   633333.200000100       0.637237578684427        7082.04622038875     
   643333.100000100       0.656550488740550        6998.49728257921     
   653333.150000100       0.674046065751935        6923.53726947630     
   663333.200000100       0.689957383713779        6855.88968158832     
   673333.100000100       0.704480845491642        6794.52616053471     
   683333.150000100       0.717783417417864        6738.60463793305     
   693333.200000100       0.730006669064986        6687.43210579162     
   703333.100000100       0.741271785504949        6640.43021562045     
   713333.150000100       0.751683454248980        6597.11009667925     
   723333.200000100       0.761331650305791        6557.05881291141     
