# file 'T0_razoumov_evolution_caseB.dat'
#    time (yr)   neutral fraction   temperature
       2.019E-05    9.98969E-01           151.
       4.079E-05    9.97919E-01           202.
       6.180E-05    9.96849E-01           254.
       8.324E-05    9.95758E-01           308.
       1.051E-04    9.94646E-01           362.
       1.274E-04    9.93513E-01           417.
       1.502E-04    9.92359E-01           474.
       1.734E-04    9.91183E-01           531.
       1.971E-04    9.89984E-01           589.
       2.213E-04    9.88763E-01           648.
       2.459E-04    9.87518E-01           709.
       2.711E-04    9.86250E-01           770.
       2.968E-04    9.84958E-01           833.
       3.229E-04    9.83642E-01           896.
       3.497E-04    9.82301E-01           961.
       3.769E-04    9.80935E-01          1027.
       4.047E-04    9.79543E-01          1094.
       4.331E-04    9.78126E-01          1162.
       4.620E-04    9.76681E-01          1231.
       4.915E-04    9.75210E-01          1302.
       5.216E-04    9.73711E-01          1374.
       5.524E-04    9.72185E-01          1447.
       5.837E-04    9.70630E-01          1521.
       6.157E-04    9.69046E-01          1596.
       6.483E-04    9.67433E-01          1673.
       6.816E-04    9.65790E-01          1751.
       7.155E-04    9.64117E-01          1830.
       7.502E-04    9.62413E-01          1911.
       7.855E-04    9.60677E-01          1993.
       8.216E-04    9.58910E-01          2076.
       8.584E-04    9.57111E-01          2161.
       8.959E-04    9.55278E-01          2247.
       9.342E-04    9.53413E-01          2335.
       9.732E-04    9.51513E-01          2424.
       1.013E-03    9.49579E-01          2514.
       1.054E-03    9.47610E-01          2606.
       1.095E-03    9.45605E-01          2700.
       1.137E-03    9.43565E-01          2794.
       1.181E-03    9.41487E-01          2891.
       1.225E-03    9.39373E-01          2989.
       1.270E-03    9.37220E-01          3088.
       1.315E-03    9.35030E-01          3189.
       1.362E-03    9.32800E-01          3292.
       1.410E-03    9.30531E-01          3396.
       1.458E-03    9.28221E-01          3502.
       1.508E-03    9.25871E-01          3610.
       1.559E-03    9.23480E-01          3719.
       1.610E-03    9.21046E-01          3830.
       1.663E-03    9.18570E-01          3942.
       1.717E-03    9.16051E-01          4056.
       1.772E-03    9.13489E-01          4172.
       1.828E-03    9.10882E-01          4290.
       1.885E-03    9.08229E-01          4409.
       1.943E-03    9.05532E-01          4530.
       2.003E-03    9.02788E-01          4653.
       2.063E-03    8.99997E-01          4778.
       2.125E-03    8.97159E-01          4904.
       2.188E-03    8.94273E-01          5033.
       2.252E-03    8.91338E-01          5163.
       2.318E-03    8.88354E-01          5295.
       2.385E-03    8.85320E-01          5429.
       2.453E-03    8.82235E-01          5564.
       2.523E-03    8.79099E-01          5702.
       2.594E-03    8.75911E-01          5841.
       2.667E-03    8.72671E-01          5982.
       2.741E-03    8.69377E-01          6126.
       2.816E-03    8.66030E-01          6271.
       2.894E-03    8.62629E-01          6418.
       2.972E-03    8.59173E-01          6567.
       3.052E-03    8.55661E-01          6717.
       3.134E-03    8.52093E-01          6870.
       3.218E-03    8.48469E-01          7025.
       3.303E-03    8.44787E-01          7182.
       3.390E-03    8.41047E-01          7340.
       3.478E-03    8.37249E-01          7501.
       3.569E-03    8.33392E-01          7663.
       3.661E-03    8.29475E-01          7828.
       3.755E-03    8.25499E-01          7994.
       3.851E-03    8.21461E-01          8163.
       3.949E-03    8.17362E-01          8333.
       4.049E-03    8.13202E-01          8506.
       4.151E-03    8.08980E-01          8680.
       4.255E-03    8.04695E-01          8856.
       4.361E-03    8.00346E-01          9035.
       4.469E-03    7.95935E-01          9215.
       4.580E-03    7.91459E-01          9397.
       4.692E-03    7.86919E-01          9581.
       4.807E-03    7.82314E-01          9767.
       4.925E-03    7.77643E-01          9955.
       5.044E-03    7.72908E-01         10145.
       5.166E-03    7.68106E-01         10336.
       5.291E-03    7.63238E-01         10530.
       5.418E-03    7.58304E-01         10725.
       5.547E-03    7.53302E-01         10923.
       5.680E-03    7.48234E-01         11122.
       5.814E-03    7.43099E-01         11323.
       5.952E-03    7.37896E-01         11526.
       6.092E-03    7.32626E-01         11730.
       6.236E-03    7.27289E-01         11936.
       6.382E-03    7.21883E-01         12145.
       6.531E-03    7.16410E-01         12354.
       6.683E-03    7.10869E-01         12566.
       6.838E-03    7.05261E-01         12779.
       6.996E-03    6.99585E-01         12994.
       7.158E-03    6.93841E-01         13210.
       7.322E-03    6.88030E-01         13428.
       7.490E-03    6.82152E-01         13647.
       7.662E-03    6.76207E-01         13868.
       7.837E-03    6.70195E-01         14091.
       8.015E-03    6.64117E-01         14315.
       8.197E-03    6.57973E-01         14540.
       8.383E-03    6.51763E-01         14767.
       8.572E-03    6.45489E-01         14995.
