#    t [Myr]     r [kpc]      v [km/s]
  0.1495E-04  0.1661E-02  0.2344E+07
  0.1578E-04  0.3538E-02  0.2095E+07
  0.1665E-04  0.5287E-02  0.1875E+07
  0.1755E-04  0.6919E-02  0.1679E+07
  0.1849E-04  0.8448E-02  0.1505E+07
  0.1948E-04  0.9883E-02  0.1350E+07
  0.2051E-04  0.1123E-01  0.1211E+07
  0.2160E-04  0.1251E-01  0.1086E+07
  0.2275E-04  0.1371E-01  0.9735E+06
  0.2396E-04  0.1485E-01  0.8721E+06
  0.2524E-04  0.1593E-01  0.7805E+06
  0.2661E-04  0.1696E-01  0.6976E+06
  0.2807E-04  0.1795E-01  0.6224E+06
  0.2964E-04  0.1888E-01  0.5541E+06
  0.3133E-04  0.1979E-01  0.4921E+06
  0.3317E-04  0.2065E-01  0.4357E+06
  0.3517E-04  0.2149E-01  0.3843E+06
  0.3737E-04  0.2229E-01  0.3375E+06
  0.3981E-04  0.2308E-01  0.2950E+06
  0.4256E-04  0.2385E-01  0.2564E+06
  0.4567E-04  0.2461E-01  0.2214E+06
  0.4928E-04  0.2536E-01  0.1898E+06
  0.5353E-04  0.2611E-01  0.1614E+06
  0.5870E-04  0.2689E-01  0.1363E+06
  0.6521E-04  0.2772E-01  0.1146E+06
  0.7386E-04  0.2864E-01  0.9642E+05
  0.8436E-04  0.2961E-01  0.8512E+05
  0.9541E-04  0.3053E-01  0.7909E+05
  0.1066E-03  0.3142E-01  0.7622E+05
  0.1178E-03  0.3229E-01  0.7535E+05
  0.1292E-03  0.3317E-01  0.7578E+05
  0.1408E-03  0.3407E-01  0.7710E+05
  0.1525E-03  0.3500E-01  0.7903E+05
  0.1644E-03  0.3598E-01  0.8143E+05
  0.1765E-03  0.3700E-01  0.8418E+05
  0.1889E-03  0.3808E-01  0.8724E+05
  0.2014E-03  0.3922E-01  0.9056E+05
  0.2142E-03  0.4043E-01  0.9415E+05
  0.2273E-03  0.4171E-01  0.9800E+05
  0.2406E-03  0.4307E-01  0.1021E+06
  0.2543E-03  0.4453E-01  0.1065E+06
  0.2683E-03  0.4608E-01  0.1113E+06
  0.2826E-03  0.4774E-01  0.1164E+06
  0.2973E-03  0.4953E-01  0.1218E+06
  0.3124E-03  0.5151E-01  0.1348E+06
  0.3279E-03  0.5365E-01  0.1356E+06
  0.3439E-03  0.5576E-01  0.1230E+06
  0.3604E-03  0.5774E-01  0.1119E+06
  0.3775E-03  0.5960E-01  0.1019E+06
  0.3952E-03  0.6135E-01  0.9296E+05
  0.4135E-03  0.6302E-01  0.8495E+05
  0.4326E-03  0.6460E-01  0.7773E+05
  0.4524E-03  0.6611E-01  0.7122E+05
  0.4732E-03  0.6755E-01  0.6534E+05
  0.4950E-03  0.6894E-01  0.6000E+05
  0.5179E-03  0.7029E-01  0.5518E+05
  0.5420E-03  0.7159E-01  0.5080E+05
  0.5676E-03  0.7287E-01  0.4683E+05
  0.5949E-03  0.7412E-01  0.4324E+05
  0.6240E-03  0.7535E-01  0.3998E+05
  0.6546E-03  0.7656E-01  0.3718E+05
  0.6859E-03  0.7770E-01  0.3479E+05
  0.7179E-03  0.7881E-01  0.3273E+05
  0.7509E-03  0.7988E-01  0.3098E+05
  0.7848E-03  0.8093E-01  0.2949E+05
  0.8198E-03  0.8196E-01  0.2824E+05
  0.8559E-03  0.8298E-01  0.2720E+05
  0.8933E-03  0.8400E-01  0.2636E+05
