# extracted from file 'T1_front_mellema.dat'
# Time (Myr)     r [kpc]        v [km/s]      
    5.003805e+00   1.836226e+00   2.250870e+02
    1.001078e+01   2.302898e+00   7.684510e+01
    1.501459e+01   2.622439e+00   5.551330e+01
    2.001839e+01   2.870682e+00   4.421920e+01
    2.502537e+01   3.074851e+00   3.712390e+01
    3.002917e+01   3.250502e+00   3.172890e+01
    3.503932e+01   3.399577e+00   2.784810e+01
    4.004947e+01   3.535690e+00   2.500000e+01
    4.505961e+01   3.655599e+00   2.253970e+01
    5.003805e+01   3.765786e+00   2.031750e+01
    5.504820e+01   3.863009e+00   1.835440e+01
    6.005835e+01   3.953751e+00   1.708860e+01
    6.506849e+01   4.038011e+00   1.582280e+01
    7.007864e+01   4.115790e+00   1.487340e+01
    7.508879e+01   4.190328e+00   1.365080e+01
    8.006722e+01   4.255143e+00   1.269840e+01
    8.507737e+01   4.319959e+00   1.202530e+01
    9.008752e+01   4.378293e+00   1.107600e+01
    9.509767e+01   4.433386e+00   1.044300e+01
    1.001078e+02   4.485239e+00   9.810120e+00
    1.051180e+02   4.533850e+00   9.206350e+00
    1.100964e+02   4.579221e+00   8.888890e+00
    1.151065e+02   4.624592e+00   8.544300e+00
    1.201167e+02   4.666722e+00   7.911400e+00
    1.251268e+02   4.705612e+00   7.594950e+00
    1.301370e+02   4.744501e+00   6.962020e+00
    1.351471e+02   4.776909e+00   6.666680e+00
    1.401256e+02   4.812557e+00   6.666650e+00
    1.451357e+02   4.844965e+00   6.012620e+00
    1.501459e+02   4.874132e+00   5.696200e+00
    1.551560e+02   4.903299e+00   5.696230e+00
    1.601662e+02   4.932466e+00   5.379770e+00
    1.651763e+02   4.958392e+00   5.079350e+00
    1.701547e+02   4.984319e+00   5.079350e+00
    1.751649e+02   5.010245e+00   4.430380e+00
    1.801750e+02   5.029689e+00   4.430380e+00
    1.851852e+02   5.055616e+00   4.430380e+00
    1.901953e+02   5.075060e+00   3.797490e+00
    1.952055e+02   5.094505e+00   4.126980e+00
    2.001839e+02   5.117191e+00   3.809510e+00
    2.051941e+02   5.133394e+00   3.481030e+00
    2.102042e+02   5.152839e+00   3.481030e+00
    2.152144e+02   5.169043e+00   3.164560e+00
    2.202245e+02   5.185247e+00   3.164570e+00
    2.252347e+02   5.201451e+00   3.174610e+00
    2.302131e+02   5.217655e+00   2.857140e+00
    2.352232e+02   5.230618e+00   2.848100e+00
    2.402334e+02   5.246822e+00   2.848100e+00
    2.452435e+02   5.259785e+00   2.531640e+00
    2.502537e+02   5.272748e+00   2.531640e+00
    2.552638e+02   5.285711e+00   2.539670e+00
    2.602423e+02   5.298674e+00   2.539670e+00
    2.652524e+02   5.311637e+00   2.215210e+00
    2.702626e+02   5.321360e+00   2.215210e+00
    2.752727e+02   5.334323e+00   2.215180e+00
    2.802829e+02   5.344045e+00   1.898710e+00
    2.852930e+02   5.353767e+00   1.904770e+00
    2.902714e+02   5.363490e+00   1.904770e+00
    2.952816e+02   5.373212e+00   1.898740e+00
    3.002917e+02   5.382934e+00   1.898740e+00
    3.053019e+02   5.392657e+00   1.582250e+00
    3.103120e+02   5.399138e+00   1.582280e+00
    3.153222e+02   5.408861e+00   1.910840e+00
    3.202689e+02   5.418583e+00   1.582280e+00
    3.253425e+02   5.425065e+00   1.250000e+00
    3.304160e+02   5.431546e+00   1.290320e+00
    3.351725e+02   5.438028e+00   1.290320e+00
    3.402461e+02   5.444509e+00   1.562500e+00
    3.453196e+02   5.454232e+00   1.562500e+00
    3.503932e+02   5.460713e+00   1.250000e+00
    3.554668e+02   5.467195e+00   1.290350e+00
    3.602232e+02   5.473676e+00   1.290320e+00
    3.652968e+02   5.480158e+00   9.374850e-01
    3.703704e+02   5.483399e+00   9.374880e-01
    3.754439e+02   5.489880e+00   1.250000e+00
    3.805175e+02   5.496362e+00   9.677650e-01
    3.852740e+02   5.499602e+00   9.677290e-01
    3.903475e+02   5.506084e+00   1.249990e+00
    3.954211e+02   5.512566e+00   9.375240e-01
    4.004947e+02   5.515806e+00   9.677290e-01
    4.052511e+02   5.522288e+00   9.677290e-01
    4.103247e+02   5.525529e+00   9.375240e-01
    4.153983e+02   5.532010e+00   9.374880e-01
    4.204718e+02   5.535251e+00   6.249800e-01
    4.255454e+02   5.538492e+00   6.451770e-01
    4.303019e+02   5.541733e+00   6.451770e-01
    4.353754e+02   5.544973e+00   9.374850e-01
    4.404490e+02   5.551455e+00   9.374880e-01
    4.455226e+02   5.554696e+00   6.250160e-01
    4.505961e+02   5.557936e+00   6.451770e-01
    4.553526e+02   5.561177e+00   6.451410e-01
    4.604262e+02   5.564418e+00   9.374880e-01
    4.654997e+02   5.570900e+00   9.375240e-01
    4.705733e+02   5.574140e+00   6.451770e-01
    4.753298e+02   5.577381e+00   3.225880e-01
    4.804033e+02   5.577381e+00   3.124720e-01
    4.854769e+02   5.580622e+00   6.249800e-01
    4.905505e+02   5.583863e+00   6.250160e-01
    4.956240e+02   5.587103e+00   6.451770e-01
