#    t [Myr]     r [kpc]      v [km/s]
  0.166665E+00  0.629199E+00  0.369721E+04
  0.333330E+00  0.785204E+00  0.916690E+03
  0.499995E+00  0.892757E+00  0.631993E+03
  0.666660E+00  0.983076E+00  0.530715E+03
  0.833325E+00  0.105690E+01  0.433799E+03
  0.999990E+00  0.112071E+01  0.374957E+03
  0.116665E+01  0.117723E+01  0.332133E+03
  0.133332E+01  0.122914E+01  0.304970E+03
  0.149998E+01  0.127743E+01  0.283779E+03
  0.166665E+01  0.132119E+01  0.257141E+03
  0.183332E+01  0.136157E+01  0.237292E+03
  0.199998E+01  0.140150E+01  0.234588E+03
  0.216664E+01  0.143757E+01  0.211982E+03
  0.233331E+01  0.147257E+01  0.205647E+03
  0.249998E+01  0.150536E+01  0.192703E+03
  0.266664E+01  0.153651E+01  0.183043E+03
  0.283330E+01  0.156730E+01  0.180903E+03
  0.299997E+01  0.159685E+01  0.173651E+03
  0.316663E+01  0.162497E+01  0.165221E+03
  0.333330E+01  0.165266E+01  0.162683E+03
  0.349996E+01  0.167877E+01  0.153429E+03
  0.366663E+01  0.170383E+01  0.147276E+03
  0.383329E+01  0.172901E+01  0.147970E+03
  0.399996E+01  0.175195E+01  0.134785E+03
  0.416662E+01  0.177498E+01  0.135331E+03
  0.433329E+01  0.179727E+01  0.130988E+03
  0.449995E+01  0.181977E+01  0.132164E+03
  0.466662E+01  0.184108E+01  0.125230E+03
  0.483329E+01  0.186229E+01  0.124617E+03
  0.499995E+01  0.188221E+01  0.117056E+03
  0.516662E+01  0.190186E+01  0.115485E+03
  0.533328E+01  0.192134E+01  0.114465E+03
  0.549994E+01  0.194017E+01  0.110642E+03
  0.566661E+01  0.195901E+01  0.110695E+03
  0.583327E+01  0.197696E+01  0.105515E+03
  0.599994E+01  0.199507E+01  0.106372E+03
  0.616660E+01  0.201247E+01  0.102239E+03
  0.633327E+01  0.202936E+01  0.992899E+02
  0.649993E+01  0.204616E+01  0.987098E+02
  0.666660E+01  0.206219E+01  0.941549E+02
  0.683326E+01  0.207864E+01  0.967020E+02
  0.699993E+01  0.209492E+01  0.956760E+02
  0.716660E+01  0.211047E+01  0.913493E+02
  0.733326E+01  0.212560E+01  0.889200E+02
  0.749992E+01  0.214062E+01  0.882584E+02
  0.766659E+01  0.215555E+01  0.877275E+02
  0.783325E+01  0.217051E+01  0.878655E+02
  0.799992E+01  0.218477E+01  0.838361E+02
  0.816658E+01  0.219890E+01  0.830034E+02
  0.833325E+01  0.221303E+01  0.830335E+02
  0.849991E+01  0.222671E+01  0.803847E+02
  0.866658E+01  0.224050E+01  0.810234E+02
  0.883324E+01  0.225428E+01  0.809523E+02
  0.899991E+01  0.226764E+01  0.785094E+02
  0.916657E+01  0.228044E+01  0.752188E+02
  0.933324E+01  0.229337E+01  0.760146E+02
  0.949991E+01  0.230619E+01  0.753148E+02
  0.966657E+01  0.231888E+01  0.745663E+02
  0.983324E+01  0.233173E+01  0.755191E+02
  0.999990E+01  0.234434E+01  0.740562E+02
  0.101666E+02  0.235639E+01  0.708578E+02
  0.103332E+02  0.236828E+01  0.698560E+02
  0.104999E+02  0.238020E+01  0.700244E+02
  0.106666E+02  0.239197E+01  0.691488E+02
  0.108332E+02  0.240389E+01  0.700831E+02
  0.109999E+02  0.241544E+01  0.678536E+02
  0.111666E+02  0.242671E+01  0.662249E+02
  0.113332E+02  0.243800E+01  0.663049E+02
  0.114999E+02  0.244892E+01  0.642036E+02
  0.116665E+02  0.246031E+01  0.668972E+02
  0.118332E+02  0.247104E+01  0.630621E+02
  0.119999E+02  0.248181E+01  0.632634E+02
  0.121665E+02  0.249242E+01  0.623950E+02
  0.123332E+02  0.250298E+01  0.619973E+02
  0.124999E+02  0.251338E+01  0.611190E+02
  0.126665E+02  0.252387E+01  0.616792E+02
  0.128332E+02  0.253418E+01  0.605343E+02
  0.129999E+02  0.254441E+01  0.601504E+02
  0.131665E+02  0.255462E+01  0.599896E+02
  0.133332E+02  0.256462E+01  0.587548E+02
  0.134999E+02  0.257496E+01  0.607514E+02
  0.136665E+02  0.258462E+01  0.567530E+02
  0.138332E+02  0.259444E+01  0.577313E+02
  0.139999E+02  0.260434E+01  0.581369E+02
  0.141665E+02  0.261394E+01  0.564268E+02
  0.143332E+02  0.262325E+01  0.546901E+02
  0.144999E+02  0.263254E+01  0.546087E+02
  0.146665E+02  0.264185E+01  0.546852E+02
  0.148332E+02  0.265121E+01  0.550362E+02
  0.149998E+02  0.266045E+01  0.542991E+02
  0.151665E+02  0.266944E+01  0.528318E+02
  0.153332E+02  0.267841E+01  0.526701E+02
  0.154998E+02  0.268737E+01  0.526360E+02
  0.156665E+02  0.269630E+01  0.524868E+02
  0.158332E+02  0.270518E+01  0.521973E+02
  0.159998E+02  0.271388E+01  0.511400E+02
  0.161665E+02  0.272230E+01  0.494564E+02
  0.163332E+02  0.273089E+01  0.504990E+02
  0.164998E+02  0.273941E+01  0.500655E+02
  0.166665E+02  0.274779E+01  0.492085E+02
  0.168332E+02  0.275621E+01  0.495018E+02
  0.169998E+02  0.276484E+01  0.506653E+02
  0.171665E+02  0.277307E+01  0.484049E+02
  0.173332E+02  0.278138E+01  0.487852E+02
  0.174998E+02  0.278948E+01  0.476343E+02
  0.176665E+02  0.279763E+01  0.478927E+02
  0.178332E+02  0.280557E+01  0.466263E+02
  0.179998E+02  0.281353E+01  0.467995E+02
  0.181665E+02  0.282137E+01  0.460653E+02
  0.183331E+02  0.282914E+01  0.456523E+02
  0.184998E+02  0.283698E+01  0.460873E+02
  0.186665E+02  0.284496E+01  0.468657E+02
  0.188331E+02  0.285253E+01  0.444628E+02
  0.189998E+02  0.286016E+01  0.448815E+02
  0.191665E+02  0.286780E+01  0.448506E+02
  0.193331E+02  0.287553E+01  0.454342E+02
  0.194998E+02  0.288308E+01  0.443390E+02
  0.196665E+02  0.289060E+01  0.442427E+02
  0.198331E+02  0.289799E+01  0.433915E+02
  0.199998E+02  0.290521E+01  0.424528E+02
  0.201665E+02  0.291260E+01  0.434146E+02
  0.203331E+02  0.291984E+01  0.425398E+02
  0.204998E+02  0.292710E+01  0.426529E+02
  0.206665E+02  0.293441E+01  0.429549E+02
  0.208331E+02  0.294146E+01  0.414504E+02
  0.209998E+02  0.294851E+01  0.413831E+02
  0.211665E+02  0.295564E+01  0.419215E+02
  0.213331E+02  0.296271E+01  0.415202E+02
  0.214998E+02  0.296968E+01  0.409760E+02
  0.216664E+02  0.297652E+01  0.401780E+02
  0.218331E+02  0.298333E+01  0.400501E+02
  0.219998E+02  0.299015E+01  0.400380E+02
  0.221664E+02  0.299705E+01  0.405442E+02
  0.223331E+02  0.300383E+01  0.398349E+02
  0.224998E+02  0.301054E+01  0.394445E+02
  0.226664E+02  0.301711E+01  0.386194E+02
  0.228331E+02  0.302377E+01  0.390983E+02
  0.229998E+02  0.303055E+01  0.398556E+02
  0.231664E+02  0.303714E+01  0.387110E+02
  0.233331E+02  0.304355E+01  0.376557E+02
  0.234998E+02  0.304998E+01  0.378081E+02
  0.236664E+02  0.305637E+01  0.375736E+02
  0.238331E+02  0.306274E+01  0.373946E+02
  0.239998E+02  0.306908E+01  0.372514E+02
  0.241664E+02  0.307534E+01  0.368222E+02
  0.243331E+02  0.308161E+01  0.368269E+02
  0.244998E+02  0.308792E+01  0.370620E+02
  0.246664E+02  0.309411E+01  0.363779E+02
  0.248331E+02  0.310010E+01  0.352005E+02
  0.249997E+02  0.310623E+01  0.360248E+02
  0.251664E+02  0.311239E+01  0.361802E+02
  0.253331E+02  0.311853E+01  0.361183E+02
  0.254997E+02  0.312455E+01  0.353611E+02
