# from file T1_front_razoumov_caseB.dat
#    t [Myr]     r [kpc]      v [km/s]
   1.500000       1.117132       319.1807    
   1.600000       1.147802       299.8953    
   1.700000       1.178149       296.7250    
   1.800000       1.204866       261.2439    
   1.900000       1.232631       271.4799    
   2.000000       1.257838       246.4742    
   2.100000       1.283919       255.0279    
   2.200000       1.307700       232.5235    
   2.300000       1.331599       233.6915    
   2.400000       1.352623       205.5697    
   2.500000       1.374945       218.2592    
   2.600000       1.396150       207.3499    
   2.700000       1.417162       205.4487    
   2.800000       1.438519       208.8292    
   2.900000       1.458236       192.7990    
   3.000000       1.478904       202.0835    
   3.100000       1.497670       183.4927    
   3.200000       1.516192       181.1093    
   3.300000       1.534972       183.6381    
   3.400000       1.551700       163.5611    
   3.500000       1.568354       162.8407    
   3.600000       1.585297       165.6757    
   3.700000       1.600428       147.9459    
   3.800000       1.615177       144.2136    
   3.900000       1.631323       157.8798    
   4.000000       1.647068       153.9543    
   4.100000       1.662125       147.2218    
   4.200000       1.677655       151.8561    
   4.300000       1.691330       133.7108    
   4.400000       1.703667       120.6359    
   4.500000       1.715710       117.7552    
   4.600000       1.728479       124.8512    
   4.700000       1.742304       135.1829    
   4.800000       1.755047       124.6004    
   4.900000       1.767619       122.9283    
   5.000000       1.780814       129.0228    
   5.100000       1.793369       122.7597    
   5.200000       1.804978       113.5115    
   5.300000       1.816341       111.1143    
   5.400000       1.828103       115.0097    
   5.500000       1.840510       121.3139    
   5.600000       1.852088       113.2062    
   5.700000       1.863294       109.5705    
   5.800000       1.874698       111.5090    
   5.900000       1.886607       116.4520    
   6.000000       1.897709       108.5499    
   6.100000       1.908194       102.5263    
   6.200000       1.918537       101.1273    
   6.300000       1.929186       104.1263    
   6.400000       1.940264       108.3279    
   6.500000       1.950627       101.3273    
   6.600000       1.960512       96.65601    
   6.700000       1.970312       95.81974    
   6.800000       1.980400       98.64825    
   6.900000       1.990986       103.5096    
   7.000000       2.001010       98.01456    
   7.100000       2.010572       93.49171    
   7.200000       2.020006       92.24287    
   7.300000       2.029633       94.13462    
   7.400000       2.039780       99.21875    
   7.500000       2.049700       96.99522    
   7.600000       2.059145       92.35607    
   7.700000       2.068412       90.60973    
   7.800000       2.077788       91.68404    
   7.900000       2.087551       95.46242    
   8.000000       2.097046       92.83892    
   8.100000       2.105949       87.05039    
   8.200000       2.114529       83.89621    
   8.300000       2.123026       83.08310    
   8.400000       2.131670       84.52496    
   8.500000       2.140697       88.26283    
   8.600000       2.149746       88.47961    
   8.700000       2.158295       83.59185    
   8.800000       2.166590       81.11117    
   8.900000       2.174837       80.64041    
   9.000000       2.183234       82.10957    
   9.100000       2.191993       85.64665    
   9.200000       2.200855       86.64917    
   9.300000       2.209232       81.90968    
   9.400000       2.217369       79.55782    
   9.500000       2.225457       79.08660    
   9.600000       2.233672       80.32457    
   9.700000       2.242212       83.50511    
   9.800000       2.250595       81.97030    
   9.900000       2.258458       76.88271    
   10.00000       2.266008       73.82336    
   10.10000       2.273438       72.65007    
   10.20100       2.280970       72.92138    
   10.30301       2.288770       74.76601    
   10.40604       2.297010       78.20412    
   10.51010       2.305084       75.86467    
   10.61520       2.312799       71.77267    
   10.72135       2.320343       69.49514    
   10.82857       2.327895       68.87546    
   10.93685       2.335606       69.63038    
   11.04622       2.343661       72.01115    
   11.15668       2.352173       75.34956    
   11.26825       2.360360       71.75275    
   11.38093       2.368280       68.72034    
   11.49474       2.376141       67.54128    
   11.60969       2.384110       67.79331    
   11.72579       2.392361       69.49178    
   11.84304       2.400998       72.01636    
   11.96147       2.409289       68.45625    
   12.08109       2.417237       64.97130    
   12.20190       2.425058       63.29975    
   12.32392       2.432926       63.05257    
