# extracted from file 'T1_front_rijkhorst.dat'
# Time (Myr)     r [kpc]        v [km/s]      
    1.000664e+01   2.175809e+00   0.000000e+00
    2.001327e+01   2.777774e+00   0.000000e+00
    3.001991e+01   3.171313e+00   0.000000e+00
    4.002654e+01   3.466817e+00   0.000000e+00
    5.003318e+01   3.704084e+00   0.000000e+00
    6.003981e+01   3.900106e+00   0.000000e+00
    7.004645e+01   4.066274e+00   0.000000e+00
    8.005309e+01   4.209769e+00   0.000000e+00
    9.005972e+01   4.334442e+00   0.000000e+00
    1.000664e+02   4.444609e+00   0.000000e+00
    1.100730e+02   4.542824e+00   0.000000e+00
    1.200796e+02   4.631106e+00   0.000000e+00
    1.300863e+02   4.709206e+00   0.000000e+00
    1.400929e+02   4.781157e+00   0.000000e+00
    1.500995e+02   4.845224e+00   0.000000e+00
    1.601062e+02   4.903581e+00   0.000000e+00
    1.701128e+02   4.957015e+00   0.000000e+00
    1.801194e+02   5.006016e+00   0.000000e+00
    1.901261e+02   5.051140e+00   0.000000e+00
    2.001327e+02   5.092762e+00   0.000000e+00
    2.101393e+02   5.130627e+00   0.000000e+00
    2.201460e+02   5.164969e+00   0.000000e+00
    2.301526e+02   5.198054e+00   0.000000e+00
    2.401593e+02   5.227555e+00   0.000000e+00
    2.501659e+02   5.255539e+00   0.000000e+00
    2.601725e+02   5.281355e+00   0.000000e+00
    2.701792e+02   5.305408e+00   0.000000e+00
    2.801858e+02   5.327371e+00   0.000000e+00
    2.901924e+02   5.348932e+00   0.000000e+00
    3.001991e+02   5.367557e+00   0.000000e+00
    3.102057e+02   5.386470e+00   0.000000e+00
    3.202123e+02   5.403410e+00   0.000000e+00
    3.302190e+02   5.418619e+00   0.000000e+00
    3.402256e+02   5.433970e+00   0.000000e+00
    3.502322e+02   5.448531e+00   0.000000e+00
    3.602389e+02   5.461014e+00   0.000000e+00
    3.702455e+02   5.472963e+00   0.000000e+00
    3.802522e+02   5.485136e+00   0.000000e+00
    3.902588e+02   5.496764e+00   0.000000e+00
    4.002654e+02   5.506541e+00   0.000000e+00
    4.102721e+02   5.515706e+00   0.000000e+00
    4.202787e+02   5.524673e+00   0.000000e+00
    4.302853e+02   5.533738e+00   0.000000e+00
    4.402920e+02   5.543087e+00   0.000000e+00
    4.502986e+02   5.550450e+00   0.000000e+00
    4.603052e+02   5.557246e+00   0.000000e+00
    4.703119e+02   5.563682e+00   0.000000e+00
    4.803185e+02   5.569921e+00   0.000000e+00
    4.903252e+02   5.576075e+00   0.000000e+00
    5.003318e+02   5.582223e+00   0.000000e+00
