#    t [Myr]     r [kpc]      v [km/s]
 6.000000E+00  1.945432E+00  3.172884E+02
 1.000000E+01  2.294328E+00  8.535432E+01
 1.600000E+01  2.663516E+00  6.021238E+01
 2.200000E+01  2.937302E+00  4.465274E+01
 2.800000E+01  3.159856E+00  3.629737E+01
 3.000000E+01  3.223135E+00  3.096102E+01
 3.600000E+01  3.399457E+00  2.875704E+01
 4.200000E+01  3.550084E+00  2.456645E+01
 4.800000E+01  3.684770E+00  2.196644E+01
 5.400000E+01  3.804028E+00  1.945030E+01
 6.000000E+01  3.909403E+00  1.718607E+01
 6.600000E+01  4.007330E+00  1.597116E+01
 7.200000E+01  4.096906E+00  1.460944E+01
 7.800000E+01  4.175803E+00  1.286754E+01
 8.400000E+01  4.249166E+00  1.196513E+01
 9.000000E+01  4.317912E+00  1.121195E+01
 9.600000E+01  4.382479E+00  1.053065E+01
 1.000000E+02  4.423483E+00  1.003122E+01
 1.060000E+02  4.479007E+00  9.055604E+00
 1.120000E+02  4.530056E+00  8.325683E+00
 1.180000E+02  4.577837E+00  7.792907E+00
 1.240000E+02  4.622990E+00  7.364177E+00
 1.300000E+02  4.665685E+00  6.963317E+00
 1.360000E+02  4.706072E+00  6.586869E+00
 1.420000E+02  4.744285E+00  6.232304E+00
 1.480000E+02  4.780604E+00  5.923355E+00
 1.540000E+02  4.814997E+00  5.609352E+00
 1.600000E+02  4.847521E+00  5.304518E+00
 1.660000E+02  4.875991E+00  4.643256E+00
 1.720000E+02  4.903232E+00  4.442721E+00
 1.780000E+02  4.928952E+00  4.194781E+00
 1.840000E+02  4.953321E+00  3.974518E+00
 1.900000E+02  4.976600E+00  3.796712E+00
 1.960000E+02  4.998653E+00  3.596598E+00
 2.000000E+02  5.012825E+00  3.467170E+00
 2.060000E+02  5.033204E+00  3.323750E+00
 2.120000E+02  5.052535E+00  3.152683E+00
 2.180000E+02  5.071060E+00  3.021414E+00
 2.240000E+02  5.088652E+00  2.869152E+00
 2.300000E+02  5.105366E+00  2.725912E+00
 2.360000E+02  5.121399E+00  2.614838E+00
 2.420000E+02  5.136636E+00  2.485051E+00
 2.480000E+02  5.151120E+00  2.362256E+00
 2.540000E+02  5.164980E+00  2.260445E+00
 2.600000E+02  5.178212E+00  2.158158E+00
 2.660000E+02  5.190802E+00  2.053245E+00
 2.720000E+02  5.202783E+00  1.954126E+00
 2.780000E+02  5.214252E+00  1.870462E+00
 2.840000E+02  5.225218E+00  1.788597E+00
 2.900000E+02  5.235662E+00  1.703303E+00
 2.960000E+02  5.245608E+00  1.622195E+00
 3.020000E+02  5.255084E+00  1.545453E+00
 3.080000E+02  5.264118E+00  1.473323E+00
 3.140000E+02  5.272462E+00  1.360841E+00
 3.200000E+02  5.280107E+00  1.246820E+00
 3.260000E+02  5.287296E+00  1.172512E+00
 3.320000E+02  5.294397E+00  1.158208E+00
 3.380000E+02  5.301390E+00  1.140438E+00
 3.440000E+02  5.308271E+00  1.122207E+00
 3.500000E+02  5.314619E+00  1.035424E+00
 3.560000E+02  5.320463E+00  9.530161E-01
 3.620000E+02  5.326050E+00  9.113540E-01
 3.680000E+02  5.331395E+00  8.716917E-01
 3.740000E+02  5.336507E+00  8.337152E-01
 3.800000E+02  5.341397E+00  7.975721E-01
 3.860000E+02  5.346076E+00  7.630339E-01
 3.920000E+02  5.350551E+00  7.299448E-01
 3.980000E+02  5.354834E+00  6.984657E-01
 4.040000E+02  5.358931E+00  6.682452E-01
 4.100000E+02  5.362856E+00  6.400892E-01
 4.160000E+02  5.366645E+00  6.179237E-01
 4.220000E+02  5.370271E+00  5.915025E-01
 4.280000E+02  5.373742E+00  5.660360E-01
 4.340000E+02  5.377064E+00  5.418639E-01
 4.400000E+02  5.380245E+00  5.187452E-01
 4.460000E+02  5.383290E+00  4.965973E-01
 4.520000E+02  5.386205E+00  4.753883E-01
 4.580000E+02  5.388995E+00  4.551104E-01
 4.640000E+02  5.391667E+00  4.357604E-01
 4.700000E+02  5.394225E+00  4.172260E-01
 4.760000E+02  5.396675E+00  3.995020E-01
 4.820000E+02  5.399020E+00  3.824681E-01
 4.880000E+02  5.401266E+00  3.662660E-01
 4.940000E+02  5.403417E+00  3.508044E-01
 5.000000E+02  5.405477E+00  3.360433E-01
