#    t [Myr]     r [kpc]      v [km/s]
      0.1585      0.3154        1371
      0.2512      0.4543        1162
      0.3981      0.6053       880.1
       0.631      0.7798       636.1
           1      0.9868       460.8
       1.585       1.219         325
       2.512       1.469       222.7
       3.981       1.739       152.3
        6.31       2.028         103
          10        2.36       70.37
          20       2.927       47.26
          30       3.304       33.47
          40        3.57       23.81
          50       3.771       17.96
          60       3.921       14.33
          70       4.055       12.06
          80       4.165       10.55
          90       4.266       9.327
         100       4.357        8.37
         110       4.435       7.454
         120        4.51        6.68
         130       4.571       6.168
         140       4.631       5.672
         150       4.692       5.168
         160       4.737       4.697
         170       4.783        4.42
         180       4.829       4.185
         190       4.871       3.756
         200       4.905       3.412
         210       4.937       3.244
         220       4.972       3.126
         230       5.003       3.017
         240       5.031       2.756
         250       5.063       2.538
         260       5.081       2.357
         270       5.109       2.273
         280        5.13       2.458
         290       5.154       2.525
         300       5.187       2.134
         310       5.207       1.223
         320       5.208       0.437
         330       5.208      0.3655
         340       5.213      0.8067
         350       5.224        1.26
         360       5.241       1.479
         370       5.257       1.513
         380       5.271       1.294
         390       5.287      0.9243
         400        5.29      0.5882
         410       5.294      0.3697
         420         5.3      0.2521
         430       5.301      0.0336
         440         5.3     -0.2185
         450       5.296     -0.3361
         460        5.29     -0.5378
         470       5.289     -0.8403
         480       5.274       -1.16
         490       5.261      -1.361
         500       5.247      -1.378
