#    t [Myr]     r [kpc]      v [km/s]
  5.5599199E-03  0.1617850      0.000000000000000E+000
  8.1402799E-03  0.1898320       9334.79064282627     
  1.3310000E-02  0.2356700       7671.77296180090     
  1.7715599E-02  0.2648550       6179.06327663974     
  2.1435900E-02  0.2869490       5237.96406293934     
  2.5937401E-02  0.3088370       3408.52656633265     
  3.4522697E-02  0.3325050       3219.74429962552     
  4.1772500E-02  0.3609070       3853.57992398205     
  4.5949697E-02  0.3774770       3534.47761790341     
  5.0544698E-02  0.3925720       2800.34700439172     
  5.5599198E-02  0.4050740       2571.61075004923     
  6.1159100E-02  0.4204490       2411.80209483286     
  6.7275003E-02  0.4338330       1795.87501165802     
  7.4002497E-02  0.4440050       2106.94687467742     
  8.1402794E-02  0.4642330       2503.39809277988     
  8.9543000E-02  0.4837370       1333.11897778123     
  9.8497294E-02  0.4875070       1674.20221228246     
  0.1000000      0.4791530       1674.20221228246     
  0.1100000      0.5187150       2764.31448195990     
  0.1210000      0.5384390       902.863104134637     
  0.1331000      0.5400150       746.989535861587     
  0.1464100      0.5578240       1434.11397617466     
  0.1610510      0.5809530       1646.63979023475     
  0.1771560      0.6095290       1168.88046439557     
  0.1948720      0.6213270       703.545305127944     
  0.2143590      0.6362600       1095.61385669516     
  0.2357950      0.6671171       1420.96460869546     
  0.2593740      0.7015860       706.000409992598     
  0.2853120      0.7028201       849.749489969199     
  0.3138430      0.7488561       966.627379948387     
  0.3452270      0.7619681       615.795881313053     
  0.3797500      0.7903050       752.894930520825     
  0.4177250      0.8177130       761.577222273937     
  0.4594970      0.8523310       681.234320240703     
  0.5054470      0.8787441       503.112290296043     
  0.5559920      0.9019120       513.888169359799     
  0.6115910      0.9344510       599.071861544731     
  0.6727500      0.9733470       499.659720712374     
  0.7400250      0.9999900       474.222689033032     
  0.8140280       1.041770       398.456891046556     
  0.8954300       1.063230       315.895782731868     
  0.9849730       1.096920       370.039918558040     
   1.000000       1.110580       370.039918558040     
   1.100000       1.140540       319.160526192372     
   1.210000       1.179030       322.911206696149     
   1.331000       1.216720       330.857269061919     
   1.464100       1.264890       274.085448337427     
   1.610510       1.294960       255.252253200598     
   1.771560       1.345040       259.722349647223     
   1.948720       1.384670       215.187724292025     
   2.143590       1.426800       225.702667246426     
   2.357950       1.479000       216.561824416413     
   2.593740       1.526360       199.166278524691     
   2.853120       1.579720       173.545196622855     
   3.138430       1.622900       171.531202448608     
   3.452270       1.684680       163.482036621511     
   3.624880       1.700360       163.482036621511     
   3.806130       1.734380       126.873212006597     
   3.996440       1.755190       144.532344262485     
   4.196260       1.787580       132.267620440002     
   4.406070       1.815670       141.999826309745     
   4.626370       1.845180       136.949153075494     
   4.857690       1.880090       141.042286397064     
   5.100580       1.915710       118.481215771640     
   5.355610       1.933420       112.790726855281     
   5.623390       1.974730       103.484513824581     
   5.904560       2.000680       117.491516584192     
   6.199780       2.040050       107.352254373485     
   6.509770       2.071910       109.499445224970     
   6.835260       2.104760       95.6443619104495     
   7.177020       2.134420       94.1365664049611     
   7.535880       2.170560       90.1163934584221     
   7.912670       2.206870       88.8064052776827     
   8.308300       2.240330       85.8447455272264     
   8.723720       2.274700       87.5870315886950     
   9.159900       2.312030       81.5813760801423     
   10.49310       2.415850       79.2524432926110     
   12.75440       2.564640       64.7905656159974     
   15.50310       2.736940       56.0814614059545     
   18.84410       2.905800       46.1881385670346     
   21.81440       3.039520       42.8212534312226     
   26.51560       3.228970       33.3698712684235     
   31.48230       3.383770       31.7897672650946     
   38.26690       3.583970       25.7412481595907     
   46.51370       3.789410       21.3866372787569     
   53.84540       3.939770       20.1268561093390     
   65.44940       4.143670       15.0987456626795     
   79.55420       4.336790       12.5720732316375     
   94.45250       4.518040       11.1545644982199     
   115.6620       4.726500       8.16841126379145     
   133.8930       4.849610       7.27811711420823     
   162.7480       5.016700       5.01342762536105     
   194.2010       5.155130       3.26042455147641     
   231.3150       5.271860       3.09224513412310     
   281.1650       5.377201       1.81863996043718     
   341.7580       5.477931       1.24487070316466     
   415.4090       5.554750      0.749084425590800     
   489.4970       5.602310      0.488441750025524     
