#    t [Myr]     r [kpc]    v [km/s]
  0.1004E-01  0.1023E+00  0.1066E+05
  0.1014E-01  0.1036E+00  0.1351E+05
  0.1024E-01  0.1050E+00  0.1395E+05
  0.1034E-01  0.1064E+00  0.1342E+05
  0.1045E-01  0.1078E+00  0.1296E+05
  0.1055E-01  0.1092E+00  0.1250E+05
  0.1066E-01  0.1105E+00  0.1208E+05
  0.1076E-01  0.1118E+00  0.1166E+05
  0.1087E-01  0.1130E+00  0.1127E+05
  0.1098E-01  0.1143E+00  0.1091E+05
  0.1109E-01  0.1155E+00  0.1055E+05
  0.1120E-01  0.1167E+00  0.1021E+05
  0.1131E-01  0.1178E+00  0.9899E+04
  0.1142E-01  0.1189E+00  0.9589E+04
  0.1154E-01  0.1200E+00  0.9304E+04
  0.1165E-01  0.1211E+00  0.9025E+04
  0.1177E-01  0.1222E+00  0.8770E+04
  0.1189E-01  0.1232E+00  0.8521E+04
  0.1201E-01  0.1242E+00  0.8284E+04
  0.1213E-01  0.1252E+00  0.8061E+04
  0.1225E-01  0.1262E+00  0.7850E+04
  0.1237E-01  0.1272E+00  0.7656E+04
  0.1250E-01  0.1281E+00  0.7456E+04
  0.1262E-01  0.1291E+00  0.7278E+04
  0.1275E-01  0.1300E+00  0.7110E+04
  0.1287E-01  0.1309E+00  0.6945E+04
  0.1300E-01  0.1318E+00  0.6791E+04
  0.1313E-01  0.1327E+00  0.6652E+04
  0.1326E-01  0.1336E+00  0.6509E+04
  0.1340E-01  0.1345E+00  0.6380E+04
  0.1353E-01  0.1353E+00  0.6259E+04
  0.1367E-01  0.1362E+00  0.6142E+04
  0.1380E-01  0.1370E+00  0.6035E+04
  0.1394E-01  0.1379E+00  0.5927E+04
  0.1408E-01  0.1387E+00  0.5835E+04
  0.1422E-01  0.1395E+00  0.5745E+04
  0.1436E-01  0.1404E+00  0.5661E+04
  0.1451E-01  0.1412E+00  0.5583E+04
  0.1465E-01  0.1420E+00  0.5507E+04
  0.1480E-01  0.1428E+00  0.5440E+04
  0.1495E-01  0.1437E+00  0.5372E+04
  0.1510E-01  0.1445E+00  0.5317E+04
  0.1525E-01  0.1453E+00  0.5262E+04
  0.1540E-01  0.1461E+00  0.5214E+04
  0.1555E-01  0.1469E+00  0.5168E+04
  0.1571E-01  0.1477E+00  0.5126E+04
  0.1587E-01  0.1485E+00  0.5088E+04
  0.1602E-01  0.1494E+00  0.5053E+04
  0.1618E-01  0.1502E+00  0.5027E+04
  0.1635E-01  0.1510E+00  0.5002E+04
  0.1651E-01  0.1519E+00  0.4977E+04
  0.1667E-01  0.1527E+00  0.4960E+04
  0.1684E-01  0.1535E+00  0.4945E+04
  0.1701E-01  0.1544E+00  0.5227E+04
  0.1718E-01  0.1555E+00  0.6919E+04
  0.1735E-01  0.1567E+00  0.6746E+04
  0.1753E-01  0.1578E+00  0.6585E+04
  0.1770E-01  0.1590E+00  0.6430E+04
  0.1788E-01  0.1602E+00  0.6277E+04
  0.1806E-01  0.1613E+00  0.6133E+04
  0.1824E-01  0.1624E+00  0.5990E+04
  0.1842E-01  0.1635E+00  0.5855E+04
  0.1860E-01  0.1646E+00  0.5726E+04
  0.1879E-01  0.1657E+00  0.5602E+04
  0.1898E-01  0.1667E+00  0.5476E+04
  0.1917E-01  0.1678E+00  0.5362E+04
  0.1936E-01  0.1688E+00  0.5250E+04
  0.1955E-01  0.1698E+00  0.5140E+04
  0.1975E-01  0.1709E+00  0.5037E+04
  0.1995E-01  0.1719E+00  0.4938E+04
  0.2014E-01  0.1729E+00  0.4839E+04
  0.2035E-01  0.1738E+00  0.4749E+04
  0.2055E-01  0.1748E+00  0.4658E+04
  0.2076E-01  0.1758E+00  0.4574E+04
  0.2096E-01  0.1767E+00  0.4490E+04
  0.2117E-01  0.1777E+00  0.4411E+04
  0.2138E-01  0.1786E+00  0.4335E+04
  0.2160E-01  0.1796E+00  0.4263E+04
  0.2181E-01  0.1805E+00  0.4194E+04
  0.2203E-01  0.1814E+00  0.4127E+04
  0.2225E-01  0.1824E+00  0.4061E+04
  0.2248E-01  0.1833E+00  0.4002E+04
  0.2270E-01  0.1842E+00  0.3942E+04
  0.2293E-01  0.1851E+00  0.3887E+04
  0.2316E-01  0.1860E+00  0.3833E+04
  0.2339E-01  0.1869E+00  0.3782E+04
  0.2362E-01  0.1878E+00  0.3733E+04
  0.2386E-01  0.1887E+00  0.3689E+04
  0.2410E-01  0.1896E+00  0.3643E+04
  0.2434E-01  0.1905E+00  0.3601E+04
  0.2458E-01  0.1914E+00  0.3563E+04
  0.2483E-01  0.1923E+00  0.3525E+04
  0.2507E-01  0.1931E+00  0.3490E+04
  0.2533E-01  0.1940E+00  0.3457E+04
  0.2558E-01  0.1949E+00  0.3426E+04
  0.2583E-01  0.1958E+00  0.3396E+04
  0.2609E-01  0.1967E+00  0.3370E+04
  0.2635E-01  0.1976E+00  0.3345E+04
  0.2662E-01  0.1985E+00  0.3320E+04
  0.2688E-01  0.1994E+00  0.3300E+04
  0.2715E-01  0.2003E+00  0.3281E+04
  0.2742E-01  0.2012E+00  0.3262E+04
  0.2770E-01  0.2021E+00  0.3246E+04
  0.2798E-01  0.2030E+00  0.3231E+04
