#    t [Myr]         r [kpc]         v [km/s]
     0.10004E+02     0.20919E+01     0.20447E+03
     0.20005E+02     0.26662E+01     0.56147E+02
     0.30009E+02     0.30557E+01     0.38074E+02
     0.40022E+02     0.33542E+01     0.29146E+02
     0.50004E+02     0.36005E+01     0.24127E+02
     0.60017E+02     0.38047E+01     0.19937E+02
     0.70031E+02     0.39862E+01     0.17722E+02
     0.80012E+02     0.41417E+01     0.15238E+02
     0.90026E+02     0.42778E+01     0.13291E+02
     0.10004E+03     0.44042E+01     0.12342E+02
     0.11002E+03     0.45144E+01     0.10794E+02
     0.12003E+03     0.46181E+01     0.10127E+02
     0.13005E+03     0.47121E+01     0.91772E+01
     0.14003E+03     0.47964E+01     0.82540E+01
     0.15004E+03     0.48741E+01     0.75949E+01
     0.16006E+03     0.49454E+01     0.69620E+01
     0.17004E+03     0.50135E+01     0.66667E+01
     0.18005E+03     0.50751E+01     0.60127E+01
     0.19007E+03     0.51334E+01     0.56962E+01
     0.20005E+03     0.51885E+01     0.53968E+01
     0.21006E+03     0.52371E+01     0.47468E+01
     0.22007E+03     0.52825E+01     0.44304E+01
     0.23006E+03     0.53278E+01     0.44444E+01
     0.24007E+03     0.53700E+01     0.41139E+01
     0.25008E+03     0.54056E+01     0.34810E+01
     0.26006E+03     0.54413E+01     0.34921E+01
     0.27008E+03     0.54769E+01     0.34810E+01
     0.28009E+03     0.55061E+01     0.28481E+01
     0.29007E+03     0.55385E+01     0.31746E+01
     0.30009E+03     0.55644E+01     0.25316E+01
     0.31010E+03     0.55903E+01     0.25316E+01
     0.32005E+03     0.56130E+01     0.22293E+01
     0.33019E+03     0.56390E+01     0.25000E+01
     0.34001E+03     0.56584E+01     0.19355E+01
     0.35015E+03     0.56778E+01     0.18750E+01
     0.35998E+03     0.56973E+01     0.19355E+01
     0.37012E+03     0.57135E+01     0.15625E+01
     0.38026E+03     0.57297E+01     0.15625E+01
     0.39008E+03     0.57459E+01     0.16129E+01
     0.40022E+03     0.57589E+01     0.12500E+01
     0.41004E+03     0.57718E+01     0.12903E+01
     0.42018E+03     0.57848E+01     0.12500E+01
     0.43001E+03     0.57978E+01     0.12903E+01
     0.44015E+03     0.58075E+01     0.93750E+00
     0.45029E+03     0.58172E+01     0.93750E+00
     0.46011E+03     0.58269E+01     0.96774E+00
     0.47025E+03     0.58334E+01     0.62500E+00
     0.48007E+03     0.58431E+01     0.96774E+00
     0.49021E+03     0.58496E+01     0.62500E+00
     0.50004E+03     0.58561E+01     0.64516E+00
