# t [Myr]       r [kpc]       v [km/s]
  0.166666E+00  0.526077E+00  0.309123E+04
  0.333333E+00  0.671853E+00  0.856581E+03
  0.499999E+00  0.774467E+00  0.602960E+03
  0.666666E+00  0.856813E+00  0.483862E+03
  0.833332E+00  0.926157E+00  0.407468E+03
  0.999999E+00  0.987198E+00  0.358677E+03
  0.116667E+01  0.104193E+01  0.321580E+03
  0.133333E+01  0.109168E+01  0.292327E+03
  0.150000E+01  0.113712E+01  0.267032E+03
  0.166666E+01  0.117929E+01  0.247778E+03
  0.183333E+01  0.121957E+01  0.236722E+03
  0.200000E+01  0.125673E+01  0.218355E+03
  0.216666E+01  0.129163E+01  0.205030E+03
  0.233333E+01  0.132541E+01  0.198494E+03
  0.250000E+01  0.135761E+01  0.189210E+03
  0.266666E+01  0.138807E+01  0.178997E+03
  0.283333E+01  0.141736E+01  0.172094E+03
  0.300000E+01  0.144600E+01  0.168275E+03
  0.316666E+01  0.147349E+01  0.161538E+03
  0.333333E+01  0.150012E+01  0.156496E+03
  0.350000E+01  0.152574E+01  0.150514E+03
  0.366666E+01  0.155027E+01  0.144136E+03
  0.383333E+01  0.157381E+01  0.138363E+03
  0.400000E+01  0.159722E+01  0.137516E+03
  0.416666E+01  0.161962E+01  0.131648E+03
  0.433333E+01  0.164161E+01  0.129197E+03
  0.450000E+01  0.166292E+01  0.125245E+03
  0.466666E+01  0.168402E+01  0.123948E+03
  0.483333E+01  0.170432E+01  0.119305E+03
  0.500000E+01  0.172427E+01  0.117252E+03
  0.516666E+01  0.174363E+01  0.113742E+03
  0.533333E+01  0.176297E+01  0.113631E+03
  0.549999E+01  0.178170E+01  0.110081E+03
  0.566666E+01  0.179998E+01  0.107400E+03
  0.583333E+01  0.181802E+01  0.105981E+03
  0.599999E+01  0.183539E+01  0.102094E+03
  0.616666E+01  0.185258E+01  0.101014E+03
  0.633333E+01  0.186933E+01  0.984067E+02
  0.649999E+01  0.188600E+01  0.979353E+02
  0.666666E+01  0.190225E+01  0.955271E+02
  0.683333E+01  0.191835E+01  0.945543E+02
  0.699999E+01  0.193405E+01  0.922914E+02
  0.716666E+01  0.194948E+01  0.906264E+02
  0.733333E+01  0.196461E+01  0.889459E+02
  0.749999E+01  0.197970E+01  0.886299E+02
  0.766666E+01  0.199453E+01  0.871717E+02
  0.783333E+01  0.200918E+01  0.860698E+02
  0.799999E+01  0.202347E+01  0.839580E+02
  0.816666E+01  0.203763E+01  0.832473E+02
  0.833333E+01  0.205153E+01  0.816567E+02
  0.849999E+01  0.206530E+01  0.808776E+02
  0.866666E+01  0.207912E+01  0.812543E+02
  0.883332E+01  0.209243E+01  0.781684E+02
  0.899999E+01  0.210554E+01  0.770544E+02
  0.916666E+01  0.211854E+01  0.763639E+02
  0.933332E+01  0.213133E+01  0.751776E+02
  0.949999E+01  0.214391E+01  0.739253E+02
  0.966666E+01  0.215645E+01  0.737106E+02
  0.983332E+01  0.216871E+01  0.719831E+02
  0.999999E+01  0.218098E+01  0.721296E+02
  0.101667E+02  0.219329E+01  0.723508E+02
  0.103333E+02  0.220537E+01  0.709714E+02
  0.105000E+02  0.221732E+01  0.702180E+02
  0.106667E+02  0.222920E+01  0.697754E+02
  0.108333E+02  0.224092E+01  0.688807E+02
  0.110000E+02  0.225245E+01  0.677397E+02
  0.111667E+02  0.226385E+01  0.669933E+02
  0.113333E+02  0.227525E+01  0.670088E+02
  0.115000E+02  0.228640E+01  0.655252E+02
  0.116667E+02  0.229739E+01  0.645500E+02
  0.118333E+02  0.230832E+01  0.642256E+02
  0.120000E+02  0.231919E+01  0.638834E+02
  0.121667E+02  0.232991E+01  0.629662E+02
  0.123333E+02  0.234047E+01  0.620558E+02
  0.125000E+02  0.235093E+01  0.614805E+02
  0.126667E+02  0.236121E+01  0.604305E+02
  0.128333E+02  0.237151E+01  0.604703E+02
  0.130000E+02  0.238159E+01  0.592520E+02
  0.131667E+02  0.239168E+01  0.592960E+02
  0.133333E+02  0.240167E+01  0.587128E+02
  0.135000E+02  0.241151E+01  0.578057E+02
  0.136667E+02  0.242142E+01  0.582532E+02
  0.138333E+02  0.243117E+01  0.572619E+02
  0.140000E+02  0.244079E+01  0.565255E+02
  0.141667E+02  0.245036E+01  0.562470E+02
  0.143333E+02  0.245989E+01  0.559710E+02
  0.145000E+02  0.246935E+01  0.556015E+02
  0.146667E+02  0.247876E+01  0.553183E+02
  0.148333E+02  0.248800E+01  0.542948E+02
  0.150000E+02  0.249715E+01  0.537195E+02
  0.151667E+02  0.250636E+01  0.541323E+02
  0.153333E+02  0.251545E+01  0.534539E+02
  0.155000E+02  0.252442E+01  0.526505E+02
  0.156667E+02  0.253326E+01  0.519940E+02
  0.158333E+02  0.254195E+01  0.510596E+02
  0.160000E+02  0.255067E+01  0.512175E+02
  0.161667E+02  0.255933E+01  0.509106E+02
  0.163333E+02  0.256798E+01  0.507975E+02
  0.165000E+02  0.257661E+01  0.507148E+02
  0.166667E+02  0.258512E+01  0.499967E+02
  0.168333E+02  0.259351E+01  0.493294E+02
  0.170000E+02  0.260192E+01  0.494075E+02
  0.171667E+02  0.261020E+01  0.486703E+02
  0.173333E+02  0.261843E+01  0.483395E+02
  0.175000E+02  0.262665E+01  0.483202E+02
  0.176666E+02  0.263492E+01  0.485508E+02
  0.178333E+02  0.264302E+01  0.476172E+02
  0.180000E+02  0.265086E+01  0.460573E+02
  0.181666E+02  0.265874E+01  0.463276E+02
  0.183333E+02  0.266669E+01  0.466691E+02
  0.185000E+02  0.267457E+01  0.463340E+02
