#    t [Myr]     r [kpc]    v [km/s]
   1.000000      0.9178478       356.3770    
   1.100000      0.9521319       335.2294    
   1.200000      0.9872242       343.1323    
   1.300000       1.019066       311.3498    
   1.400000       1.047846       281.4111    
   1.500000       1.076422       279.4171    
   1.600000       1.103231       262.1318    
   1.700000       1.131371       275.1611    
   1.800000       1.157880       259.1988    
   1.900000       1.181163       227.6624    
   2.000000       1.202465       208.2878    
   2.100000       1.224032       210.8893    
   2.200000       1.245201       206.9866    
   2.300000       1.265374       197.2533    
   2.400000       1.286937       210.8457    
   2.500000       1.307074       196.8913    
   2.600000       1.325691       182.0371    
   2.700000       1.342676       166.0846    
   2.800000       1.358691       156.5931    
   2.900000       1.376333       172.5051    
   3.000000       1.395039       182.9006    
   3.100000       1.412769       173.3700    
   3.200000       1.431260       180.8070    
   3.300000       1.449328       176.6648    
   3.400000       1.466616       169.0382    
   3.500000       1.484068       170.6530    
   3.600000       1.500768       163.2863    
   3.700000       1.516735       156.1266    
   3.800000       1.530970       139.1940    
   3.900000       1.544046       127.8499    
   4.000000       1.556515       121.9240    
   4.100000       1.568554       117.7198    
   4.200000       1.580806       119.7966    
   4.300000       1.592809       117.3637    
   4.400000       1.604272       112.0900    
   4.500000       1.615337       108.1881    
   4.600000       1.626758       111.6752    
   4.700000       1.640867       137.9648    
   4.800000       1.654343       131.7660    
   4.900000       1.667352       127.2033    
   5.000000       1.679027       114.1528    
   5.100000       1.688363       91.29073    
   5.200000       1.697317       87.54896    
   5.300000       1.705948       84.39830    
   5.400000       1.714320       81.86022    
   5.500000       1.722481       79.79807    
   5.600000       1.732163       94.66549    
   5.700000       1.743991       115.6605    
   5.800000       1.755388       111.4353    
   5.900000       1.766424       107.9102    
   6.000000       1.777181       105.1803    
   6.100000       1.787610       101.9800    
   6.200000       1.797663       98.29273    
   6.300000       1.807368       94.90150    
   6.400000       1.816797       92.19209    
   6.500000       1.826008       90.06509    
   6.600000       1.836284       100.4811    
   6.700000       1.847449       109.1707    
   6.800000       1.858266       105.7699    
   6.900000       1.868794       102.9425    
   7.000000       1.879072       100.4962    
   7.100000       1.888894       96.03923    
   7.200000       1.898288       91.86102    
   7.300000       1.907413       89.22220    
   7.400000       1.916300       86.88923    
   7.500000       1.924993       85.00498    
   7.600000       1.933505       83.22933    
   7.700000       1.942697       89.87547    
   7.800000       1.951623       87.28769    
   7.900000       1.960310       84.93703    
   8.000000       1.968799       83.00854    
   8.100000       1.977122       81.38145    
   8.200000       1.985317       80.12821    
   8.300000       1.994203       86.88660    
   8.400000       2.002856       84.61214    
   8.500000       2.011281       82.37188    
   8.600000       2.019519       80.55799    
   8.700000       2.027594       78.95406    
   8.800000       2.035546       77.75127    
   8.900000       2.044749       89.99133    
   9.000000       2.053969       90.14921    
   9.100000       2.062975       88.06913    
   9.200000       2.071791       86.19579    
   9.300000       2.080442       84.59631    
   9.400000       2.088895       82.64629    
   9.500000       2.096503       74.38950    
   9.600000       2.103913       72.46029    
   9.700000       2.111164       70.90186    
   9.800000       2.118273       69.50552    
   9.900000       2.125254       68.26417    
   10.00000       2.132124       67.17319    
   10.10000       2.138896       66.21206    
