#    t [Myr]     r [kpc]    v [km/s]
      0.1585      0.2404        1068
      0.2512      0.3466       942.3
      0.3981      0.4766       746.9
       0.631      0.6353       549.6
           1      0.8049       389.7
       1.585      0.9983       277.4
       2.512       1.213       200.6
       3.981        1.48       145.7
        6.31       1.763       101.3
          10       2.089        69.4
          20       2.649       47.26
          30       3.027        34.7
          40       3.316       26.44
          50       3.551       21.22
          60       3.748       17.33
          70       3.898        14.6
          80       4.033       12.68
          90       4.162       11.18
         100       4.262       9.638
         110       4.354       8.512
         120       4.432       7.899
         130       4.514       7.185
         140       4.586       6.588
         150       4.641       6.008
         160        4.71        5.63
         170        4.76        5.16
         180       4.813       4.546
         190       4.854       4.185
         200       4.894       3.983
         210       4.935       3.966
         220       4.976       3.689
         230       5.015       3.193
         240        5.04       2.781
         250       5.067       2.723
         260       5.095       2.949
         270       5.127       2.958
         280       5.161        2.55
         290       5.183       1.954
         300       5.196       1.504
         310       5.212       1.399
         320       5.224       1.534
         330       5.241       1.697
         340       5.261       1.731
         350       5.279       1.546
         360       5.292       1.361
         370       5.305        1.26
         380       5.319       1.092
         390        5.33      0.9243
         400       5.335      0.8235
         410       5.346      0.8739
         420       5.353      0.8403
         430       5.365      0.7899
         440       5.368      0.7731
         450        5.38      0.7731
         460       5.385      0.8572
         470       5.394      0.7899
         480       5.406      0.7563
         490       5.408      0.7563
         500       5.418       0.874
