#    t [Myr]     r [kpc]         v [km/s]
  3.4522697E-02  0.2406520       2780.49209327949     
  4.1772500E-02  0.2618200       2704.46021540954     
  5.0544698E-02  0.2849050       2502.32636393145     
  6.1159100E-02  0.3113640       2086.16796504941     
  6.7275003E-02  0.3205500       1418.03496573296     
  7.4002497E-02  0.3299640       1434.66557114356     
  8.1402794E-02  0.3412500       1740.57131810896     
  8.9543000E-02  0.3575890       1955.80301383294     
  9.8497294E-02  0.3753950       1666.01640159713     
  0.1000000      0.3774770       1666.01640159713     
  0.1100000      0.3923960       1278.92611146338     
  0.1210000      0.4049060       1279.86219286131     
  0.1331000      0.4225900       1228.94264771040     
  0.1464100      0.4367980       1377.99411813350     
  0.1610510      0.4619260       1122.12176230203     
  0.1771560      0.4720330       776.358348790073     
  0.1948720      0.4887420       1026.01064207397     
  0.2143590      0.5110160       986.603461850432     
  0.2357950      0.5299760       798.925752954547     
  0.2593740      0.5477450       832.871128479885     
  0.2853120      0.5720950       816.258590397774     
  0.3138430      0.5931520       664.520274549624     
  0.3452270      0.6127570       669.578043627399     
  0.3797500      0.6382210       674.505579753746     
  0.4177250      0.6626980       620.179801732299     
  0.4594970      0.6887311       562.168288698608     
  0.5054470      0.7130620       523.477475200015     
  0.5559920      0.7403190       522.236927969909     
  0.6115910      0.7696741       477.815180671737     
  0.6727500      0.7972950       373.866145572591     
  0.7400250      0.8187131       391.996225258524     
  0.8140280      0.8538541       420.087130913289     
  0.8954300      0.8853860       364.789165334297     
  0.9849730      0.9175400       331.384413292887     
   1.000000      0.9195580       331.384413292887     
   1.100000      0.9546201       319.356018106333     
   1.210000      0.9880500       280.608380864819     
   1.331000       1.020820       286.388529611251     
   1.464100       1.062370       276.958039578105     
   1.610510       1.099880       241.749233439729     
   1.771560       1.138280       224.893869322800     
   1.948720       1.177560       225.031169620389     
   2.143590       1.223780       217.639309732280     
   2.357950       1.268520       186.196244954319     
   2.593740       1.309380       173.024763521003     
   2.853120       1.356020       170.111620531992     
   3.138430       1.404010       156.101347699914     
   3.295350       1.426190       156.101347699914     
   3.460120       1.452790       147.015519030237     
   3.633120       1.482540       149.618240238085     
   3.814780       1.505560       142.888644830222     
   4.005520       1.532380       131.737113520135     
   4.205790       1.559490       134.050486747167     
   4.416080       1.587880       127.030403463945     
   4.636890       1.614290       120.820671210662     
   4.868730       1.642190       117.385705873327     
   5.112170       1.671330       123.786705306424     
   5.367780       1.706690       114.650785395965     
   5.636170       1.732050       107.319418286334     
   5.917970       1.757620       98.8200439855154     
   6.213870       1.792080       105.344729100765     
   6.524570       1.827630       104.333115440746     
   6.687680       1.837320       101.221253211353     
   6.854870       1.857450       100.331316169357     
   7.026250       1.876060       90.3467376480055     
   7.201900       1.893320       90.7164268210130     
   7.381950       1.906740       86.7755834102593     
   7.566500       1.918740       87.2792743110249     
   7.755660       1.937280       81.8288471852201     
   7.949550       1.958360       82.4449031904676     
   8.148290       1.972410       85.9479701023494     
   8.555710       2.005570       77.2378791710935     
   8.983490       2.040410       81.2721298152268     
   9.432660       2.075350       75.2034096411356     
   9.716330       2.102560       76.0612230300688     
   9.858170       2.105140       76.0612230300688     
   9.929080       2.111050       76.0612230300688     
   9.964540       2.114170       76.0162755634079     
   9.982270       2.118400       76.0162755634079     
   9.991140       2.119290       76.0162755634079     
   10.49070       2.157490       75.0089080105585     
   11.01520       2.189440       73.0924246900430     
   11.56600       2.236850       63.4064130466164     
   12.14430       2.271080       65.6131063931953     
   12.75150       2.303890       57.4557788227400     
   13.05760       2.326300       58.4551457407724     
   13.36320       2.345740       57.8974879577820     
   13.66830       2.360210       60.0432824384522     
   13.97280       2.380240       57.4282824290836     
   14.27690       2.397180       55.5062991174028     
   16.39300       2.505140       48.9438621197889     
   19.44360       2.662320       46.9812380055137     
   23.16150       2.819020       37.0690499119230     
   28.05960       3.003890       33.5768654307473     
   33.66670       3.184310       27.4396340325088     
   40.42570       3.376530       25.5246842263694     
   48.30260       3.565680       22.6925699284459     
   58.10070       3.774300       18.7601510507920     
   69.08710       3.973410       17.2612556281577     
   83.06870       4.180080       13.7574059293209     
   99.43871       4.390870       12.2099420937694     
   119.3430       4.608160       9.23802952623299     
   143.6080       4.808900       7.12373977151106     
   172.0480       5.003730       6.26256592003531     
   206.5030       5.198141       4.41700541305759     
   247.4500       5.375830       3.30091752399729     
   296.7940       5.529820       2.86268373149465     
   356.1760       5.659940       1.99705805750665     
   427.3560       5.760241       1.11843547070065     
