# extracted from file 'T5_front_mellema.dat'
# Time (Myr)     rI [kpc]       vI [km/s]     
    1.000761e+01   2.085101e+00   1.308250e+02
    2.001522e+01   2.676129e+00   4.879060e+01
    3.002283e+01   3.083151e+00   3.541120e+01
    4.003044e+01   3.400485e+00   2.873470e+01
    5.003805e+01   3.670928e+00   2.477460e+01
    6.004566e+01   3.907278e+00   2.198320e+01
    7.005327e+01   4.120618e+00   2.000080e+01
    8.006088e+01   4.316394e+00   1.853750e+01
    9.006849e+01   4.499822e+00   1.731090e+01
    1.000761e+02   4.670514e+00   1.640160e+01
    1.100837e+02   4.835340e+00   1.575880e+01
    1.200913e+02   4.992874e+00   1.513600e+01
    1.300989e+02   5.144964e+00   1.473200e+01
    1.401065e+02   5.294234e+00   1.439970e+01
    1.501142e+02   5.439518e+00   1.403530e+01
    1.601218e+02   5.581335e+00   1.373340e+01
    1.701294e+02   5.720429e+00   1.347960e+01
    1.801370e+02   5.857060e+00   1.323670e+01
    1.901446e+02   5.991196e+00   1.297940e+01
    2.001522e+02   6.122577e+00   1.271820e+01
    2.101598e+02   6.251366e+00   1.247290e+01
    2.201674e+02   6.377724e+00   1.223970e+01
    2.301750e+02   6.501749e+00   1.201740e+01
    2.401826e+02   6.623537e+00   1.180720e+01
    2.501903e+02   6.743252e+00   1.161130e+01
    2.601979e+02   6.861054e+00   1.142850e+01
    2.702055e+02   6.977041e+00   1.125430e+01
    2.802131e+02   7.091279e+00   1.108700e+01
    2.902207e+02   7.203831e+00   1.092370e+01
    3.002283e+02   7.314731e+00   1.076500e+01
    3.102359e+02   7.424042e+00   1.060970e+01
    3.202435e+02   7.531766e+00   1.045390e+01
    3.302511e+02   7.637869e+00   1.030090e+01
    3.402588e+02   7.742481e+00   1.016290e+01
    3.502664e+02   7.845765e+00   1.004770e+01
    3.602740e+02   7.948011e+00   9.943920e+00
    3.702816e+02   8.049188e+00   9.841420e+00
    3.802892e+02   8.149328e+00   9.737140e+00
    3.902968e+02   8.248367e+00   9.626550e+00
    4.003044e+02   8.346238e+00   9.505080e+00
    4.103120e+02   8.442813e+00   9.379610e+00
    4.203196e+02   8.538092e+00   9.253070e+00
    4.303272e+02   8.632075e+00   9.117790e+00
    4.403349e+02   8.724632e+00   8.973950e+00
    4.503425e+02   8.815633e+00   8.823870e+00
    4.603501e+02   8.905111e+00   8.685800e+00
    4.703577e+02   8.993325e+00   8.560340e+00
    4.803653e+02   9.080210e+00   8.428520e+00
    4.903729e+02   9.165734e+00   8.292170e+00
