# Time (Myr)     rI [kpc]       vI [km/s]     
 0.00000000E+00  8.63823573E-02  2.21678579E+02
 1.00000000E+01  2.35347720E+00  5.80871762E+01
 2.00000000E+01  2.94753764E+00  3.96757120E+01
 3.00000000E+01  3.35330330E+00  3.09111376E+01
 4.00000000E+01  3.66943287E+00  2.57908279E+01
 5.00000000E+01  3.93319701E+00  2.26188672E+01
 6.00000000E+01  4.16452118E+00  2.06380502E+01
 7.00000000E+01  4.37558739E+00  1.93467208E+01
 8.00000000E+01  4.57344719E+00  1.84310750E+01
 9.00000000E+01  4.76194251E+00  1.77276280E+01
 1.00000000E+02  4.94324400E+00  1.71507835E+01
 1.10000000E+02  5.11864569E+00  1.66468354E+01
 1.20000000E+02  5.28889393E+00  1.61788315E+01
 1.30000000E+02  5.45435558E+00  1.57240719E+01
 1.40000000E+02  5.61516641E+00  1.52935634E+01
 1.50000000E+02  5.77157436E+00  1.49068767E+01
 1.60000000E+02  5.92402761E+00  1.45654765E+01
 1.70000000E+02  6.07298927E+00  1.42663081E+01
 1.80000000E+02  6.21889166E+00  1.39991504E+01
 1.90000000E+02  6.36206144E+00  1.37567197E+01
 2.00000000E+02  6.50275205E+00  1.35314526E+01
 2.10000000E+02  6.64113913E+00  1.33220821E+01
 2.20000000E+02  6.77738471E+00  1.31253982E+01
 2.30000000E+02  6.91161876E+00  1.29365381E+01
 2.40000000E+02  7.04392131E+00  1.27563315E+01
 2.50000000E+02  7.17438085E+00  1.25848771E+01
 2.60000000E+02  7.30308682E+00  1.24212823E+01
 2.70000000E+02  7.43012023E+00  1.22649173E+01
 2.80000000E+02  7.55555401E+00  1.21146784E+01
 2.90000000E+02  7.67945134E+00  1.19694393E+01
 3.00000000E+02  7.80186343E+00  1.18294172E+01
 3.10000000E+02  7.92284344E+00  1.16947837E+01
 3.20000000E+02  8.04244645E+00  1.15657659E+01
 3.30000000E+02  8.16073014E+00  1.14411694E+01
 3.40000000E+02  8.27773957E+00  1.13212456E+01
 3.50000000E+02  8.39352238E+00  1.12055316E+01
 3.60000000E+02  8.50812198E+00  1.10932488E+01
 3.70000000E+02  8.62157306E+00  1.09835526E+01
 3.80000000E+02  8.73390252E+00  1.08769924E+01
 3.90000000E+02  8.84514178E+00  1.07731473E+01
 4.00000000E+02  8.95531938E+00  1.06724058E+01
 4.10000000E+02  9.06446673E+00  1.05749612E+01
 4.20000000E+02  9.17261723E+00  1.04811350E+01
 4.30000000E+02  9.27980815E+00  1.03908126E+01
 4.40000000E+02  9.38607577E+00  1.03039339E+01
 4.50000000E+02  9.49145445E+00  1.02200526E+01
 4.60000000E+02  9.59597531E+00  1.01388043E+01
 4.70000000E+02  9.69966555E+00  1.00599322E+01
 4.80000000E+02  9.80254885E+00  9.98288328E+00
 4.90000000E+02  9.90464433E+00  9.90795455E+00
