# Time (Myr)        rI [kpc]        vI [km/s]     
      0.00000       0.0000000       1000.0000
      10.0000       2.1009654       131.20835
      20.0000       2.6837121       48.251002
      30.0000       3.0878938       35.542122
      40.0000       3.4106922       28.161554
      50.0000       3.6638984       23.335974
      60.0000       3.8879966       20.350367
      70.0000       4.0801363       17.825375
      80.0000       4.2525894       15.954912
      90.0000       4.4064714       14.563184
      100.000       4.5504586       13.478943
      110.000       4.6821641       12.565165
      120.000       4.8074613       11.908191
      130.000       4.9257292       11.375078
      140.000       5.0401224       10.970055
      150.000       5.1501060       10.624520
      160.000       5.2574320       10.354257
      170.000       5.3618878       10.133133
      180.000       5.4646908       9.9288400
      190.000       5.5649682       9.8823808
      200.000       5.6668208       9.8022625
      210.000       5.7654597       9.5730283
      220.000       5.8626234       9.3986978
      230.000       5.9576968       9.2374614
      240.000       6.0515626       9.1042521
      250.000       6.1439112       9.0480801
      260.000       6.2366284       9.0092798
      270.000       6.3281832       8.9142838
      280.000       6.4189575       8.7857538
      290.000       6.5078834       8.7155350
      300.000       6.5972212       8.6834837
      310.000       6.6854918       8.5892181
      320.000       6.7729015       8.4513463
      330.000       6.8583522       8.4633285
      340.000       6.9460069       8.5503973
      350.000       7.0332382       8.7612799
      360.000       7.1252066       9.0091429
      370.000       7.2175075       9.0532424
      380.000       7.3103779       8.7023524
      390.000       7.3955016       8.1613769
      400.000       7.4773073       7.6844134
      410.000       7.5526754       7.2981062
      420.000       7.6265798       7.1403161
      430.000       7.6987205       7.1926834
      440.000       7.7736958       7.6421208
      450.000       7.8550293       8.0446744
      460.000       7.9382382       8.1457241
      470.000       8.0216386       8.1660824
      480.000       8.1052639       8.2517491
      490.000       8.1904162       8.1331684
      500.000       8.2716164       7.8741658
