# Time (Myr)     rI [kpc]       vI [km/s]     
      0.1585      0.1395       892.4
      0.2512      0.2319       775.8
      0.3981      0.3177       669.7
       0.631      0.4747       617.1
           1       0.722       553.3
       1.585        1.03       439.5
       2.512       1.393       309.6
       3.981       1.803       197.1
        6.31       2.091       113.7
          10       2.395        70.8
          20       3.003       51.64
          30       3.438       40.77
          40       3.796       32.93
          50       4.104       27.81
          60       4.358       24.07
          70       4.583       21.44
          80       4.795       19.43
          90       4.983       17.65
         100        5.15       16.27
         110        5.31       15.23
         120       5.466       14.38
         130       5.602       13.89
         140       5.741       13.39
         150       5.887       12.76
         160       6.001       12.09
         170       6.124       11.82
         180       6.246       11.94
         190       6.368       11.71
         200        6.49       11.38
         210       6.599       11.08
         220       6.714        10.6
         230       6.824        10.1
         240       6.915       9.797
         250       7.017       9.969
         260       7.121       10.26
         270       7.229       10.22
         280       7.332       9.988
         290       7.433       9.721
         300        7.53       9.587
         310       7.628       9.473
         320       7.726       9.358
         330       7.819       9.129
         340       7.914       8.919
         350           8       8.881
         360       8.092       8.957
         370       8.186       8.957
         380       8.278       8.632
         390       8.364       8.308
         400       8.443       8.346
         410        8.53       8.346
         420       8.624       8.193
         430       8.695       8.155
         440       8.781        8.25
         450       8.873       8.193
         460       8.952       7.926
         470       9.027       7.792
         480       9.114       7.792
         490        9.19       7.677
         500       9.267       7.544
