# Time (Myr)     rI [kpc]             vI [km/s]     
          10   2.13079000000000        NaN
          20   2.72512000000000        49.2799689450835     
          30   3.13865000000000        36.1974490604303     
          40   3.46542000000000        29.8038539785151     
          50   3.74819000000000        25.9992835187122     
          60   3.99715000000000        22.4543489558576     
          70   4.20742000000000        19.3225826282600     
          80   4.39233000000000        17.6615974268783     
          90   4.56863000000000        16.8963805177932     
         100   4.73789000000000        16.0578201349938     
         110   4.89704000000000        15.1380929746173     
         120   5.04749000000000        14.5239636213835     
         130   5.19408000000000        14.0912371264696     
         140   5.33568000000000        13.6516652406756     
         150   5.47328000000000        13.2629448299902     
         160   5.60693000000000        13.0297125835789     
         170   5.73976000000000        12.8742244193048     
         180   5.87023000000000        12.5916075672592     
         190   5.99728000000000        12.3681544506765     
         200   6.12318000000000        12.1945748962195     
         210   6.24668000000000        11.9765003010426     
         220   6.36812000000000        11.7501134455113     
         230   6.48699000000000        11.5638210222771     
         240   6.60462000000000        11.3716611211459     
         250   6.71956000000000        11.1780343505403     
         260   6.83323000000000        11.0386817504832     
         270   6.94532000000000        10.8675469784834     
         280   7.05549000000000        10.6739202078778     
         290   7.16362000000000        10.5306559558893     
         300   7.27086000000000        10.3277390119466     
         310   7.37484000000000        10.1399797192382     
         320   7.47824000000000        9.98057990303263     
         330   7.57896000000000        9.82655860823272     
         340   7.67921000000000        9.66520296606139     
         350   7.77663000000000        9.45935228317014     
         360   7.87267000000000        9.34640333365024     
         370   7.96778000000000        9.19287099534173     
         380   8.06068000000000        9.01782457141046     
         390   8.15221000000000        8.84131127800491     
         400   8.24150000000000        8.72542858953638     
         410   8.33066000000000        8.58216433754796     
         420   8.41702000000000        8.43205469467945     
         430   8.50311000000000        8.31177139778806     
         440   8.58701000000000        8.16459549386827     
         450   8.67009000000000        8.07169376049695     
         460   8.75209000000000        7.96754602782269     
         470   8.83304000000000        7.80912412459987     
         480   8.91180000000000        7.69373039262284     
         490   8.99039000000000        7.61940900592578     
         500   9.06763000000000        NaN
