# Time (Myr)     rI [kpc]       vI [km/s]     
  0.0000e+00   0.0000e+00   5.7793e+02
  1.0221e+00   9.4238e-01   5.7793e+02
  2.0212e+00   1.1937e+00   2.0979e+02
  3.0603e+00   1.3793e+00   1.5830e+02
  3.9963e+00   1.5132e+00   1.2710e+02
  5.1795e+00   1.6546e+00   1.1044e+02
  6.1322e+00   1.7543e+00   9.6381e+01
  7.2370e+00   1.8572e+00   8.6073e+01
  8.1791e+00   1.9343e+00   7.9032e+01
  9.2314e+00   2.0183e+00   7.5277e+01
  9.9957e+00   2.0741e+00   6.8002e+01
  1.1253e+01   2.1588e+00   6.5413e+01
  1.2167e+01   2.2192e+00   6.0904e+01
  1.3149e+01   2.2768e+00   5.7741e+01
  1.4201e+01   2.3392e+00   5.4757e+01
  1.5329e+01   2.3988e+00   5.2023e+01
  1.6540e+01   2.4636e+00   5.0706e+01
  1.7177e+01   2.4946e+00   4.7336e+01
  1.8518e+01   2.5592e+00   4.6645e+01
  1.9228e+01   2.5923e+00   4.3322e+01
  2.0715e+01   2.6565e+00   4.2939e+01
  2.1500e+01   2.6920e+00   4.2259e+01
  2.2314e+01   2.7256e+00   3.9202e+01
  2.3154e+01   2.7583e+00   3.9058e+01
  2.4024e+01   2.7938e+00   3.8069e+01
  2.5862e+01   2.8636e+00   3.6397e+01
  2.6826e+01   2.8981e+00   3.5947e+01
  2.7828e+01   2.9359e+00   3.5743e+01
  2.8841e+01   2.9717e+00   3.3865e+01
  2.9858e+01   3.0061e+00   3.4263e+01
  3.0881e+01   3.0431e+00   3.4542e+01
  3.1910e+01   3.0785e+00   3.2609e+01
  3.2945e+01   3.1118e+00   3.1356e+01
  3.3983e+01   3.1450e+00   3.2047e+01
  3.5026e+01   3.1800e+00   3.1696e+01
  3.6074e+01   3.2127e+00   2.9684e+01
  3.7128e+01   3.2438e+00   2.9230e+01
  3.8186e+01   3.2758e+00   2.9849e+01
  3.9248e+01   3.3084e+00   2.9149e+01
  4.0315e+01   3.3392e+00   2.7523e+01
  4.1386e+01   3.3686e+00   2.7124e+01
  4.2462e+01   3.3987e+00   2.7768e+01
  4.3542e+01   3.4298e+00   2.7322e+01
  4.4626e+01   3.4591e+00   2.5893e+01
  4.5714e+01   3.4872e+00   2.4990e+01
  4.6806e+01   3.5148e+00   2.5739e+01
  4.7903e+01   3.5448e+00   2.6004e+01
  4.9004e+01   3.5732e+00   2.4651e+01
  5.0108e+01   3.6003e+00   2.3636e+01
  5.1216e+01   3.6266e+00   2.3608e+01
  5.2328e+01   3.6539e+00   2.4213e+01
  5.3444e+01   3.6818e+00   2.3820e+01
  5.4565e+01   3.7083e+00   2.2768e+01
  5.5688e+01   3.7340e+00   2.1974e+01
  5.6814e+01   3.7589e+00   2.2128e+01
  5.7945e+01   3.7850e+00   2.2703e+01
  5.9079e+01   3.8114e+00   2.2274e+01
  6.0218e+01   3.8367e+00   2.1372e+01
  6.1359e+01   3.8612e+00   2.0678e+01
  6.2504e+01   3.8850e+00   2.0525e+01
