# Time (Myr)     rI [kpc]       vI [km/s]     
  1.7715599E-02  0.1755270       9149.92254599762     
  1.9487198E-02  0.1821010       3295.12005419708     
  3.4522697E-02  0.2320870       2957.37454490440     
  4.5949697E-02  0.2620260       2139.55333007367     
  9.8497294E-02  0.3718770       1828.37032733643     
  0.1000000      0.3718770       1828.37032733643     
  0.1210000      0.4021660       1518.05558227186     
  0.1331000      0.4231940       1495.56318316825     
  0.1464100      0.4409770       901.987323157984     
  0.1610510      0.4489420       890.468574821178     
  0.1771560      0.4689380       925.711207330089     
  0.2143590      0.4993400       865.530873945978     
  0.2357950      0.5207720       890.174482029331     
  0.2593740      0.5402640       872.994162475828     
  0.2853120      0.5649200       848.977040432783     
  0.3138430      0.5874910       809.248865906203     
  0.3452270      0.6144380       792.798876785789     
  0.3797500      0.6408541       623.925495197455     
  0.4177250      0.6606340       578.924738466652     
  0.4594970      0.6880041       543.918121122671     
  0.5054470      0.7093630       517.977712013563     
  0.5559920      0.7390500       521.831524476031     
  0.6115910      0.7659311       492.742954620706     
  0.6727500      0.7978061       398.689258548952     
  0.7400250      0.8182260       383.921639783139     
  0.8140280      0.8532001       391.885057043311     
  0.8954300      0.8804230       348.143741294649     
  0.9849730      0.9139800       373.787521346554     
   1.000000      0.9168351       373.787521346554     
   1.100000      0.9585161       345.005298149403     
   1.210000      0.9908280       283.465355550270     
   1.331000       1.025390       284.816244572046     
   1.464100       1.064740       258.321333762960     
   1.610510       1.099130       234.806449255140     
   1.771560       1.138470       252.716016341915     
   1.948720       1.186420       224.768039214040     
   2.143590       1.223870       183.304218511699     
   2.357950       1.263030       176.908141998156     
   2.593740       1.305200       188.685817380187     
   2.853120       1.358450       183.719952299864     
   3.138430       1.407400       157.313098344152     
   3.452270       1.454710       145.283093056557     
   3.624880       1.481820       145.283093056557     
   3.806130       1.506470       145.604913783139     
   3.996440       1.535630       135.620520494651     
   4.196260       1.565100       131.252957562083     
   4.406070       1.590020       124.866541654784     
   4.626370       1.616420       118.962614609768     
   4.857690       1.645460       113.747418971395     
   5.100580       1.670700       110.142837326204     
   5.355610       1.698450       110.461779819067     
   5.623390       1.733450       113.093710824556     
   5.904560       1.763560       114.530797246733     
   6.199780       1.795910       110.467514913482     
   6.509770       1.833450       101.493203551721     
   6.835260       1.860030       94.4351404072268     
   7.177020       1.891080       87.1418600239816     
   7.535880       1.924770       90.6414716305327     
   7.912670       1.960160       84.6155188747909     
   8.308300       1.996390       82.4073864113526     
   8.723720       2.024740       76.0235780128179     
   9.159900       2.064170       77.6889853117664     
   9.579950       2.089610       75.3997564760026     
   9.789980       2.113950       71.1090081868869     
   9.894990       2.117600       71.1090081868869     
   9.947490       2.117090       71.1090081868869     
   9.973750       2.120050       71.1090081868869     
   9.986870       2.120070       71.1090081868869     
   9.993440       2.120140       72.8560960541137     
   10.49310       2.160990       78.0539510467653     
   11.01780       2.202410       73.8321806261249     
   11.56870       2.238920       66.4884670337351     
   12.14710       2.275960       61.8450496219928     
   12.75440       2.314540       60.9244209194521     
   13.39220       2.352380       60.4299275427726     
   14.06180       2.398040       59.8942127297165     
   14.76490       2.437520       58.8291558265283     
   15.50310       2.476120       56.4304721795352     
   16.27830       2.525780       52.1138839060195     
   18.39360       2.633100       47.9355185322379     
   22.05630       2.797170       43.5124427354726     
   26.36190       2.973090       37.7839098387726     
   31.51050       3.155900       33.3029309614419     
   37.62860       3.339990       31.9401086686789     
   44.89390       3.554500       24.6463545167646     
   54.40650       3.788080       22.2754629235747     
   66.18510       4.038610       19.8970515885777     
   77.42720       4.253221       18.5195032831996     
   93.91711       4.540830       16.4589907251264     
   111.6710       4.821760       15.2834281704280     
   134.1390       5.145570       13.8651749433876     
   160.7880       5.506530       12.9071007051408     
   192.7410       5.911340       11.8520098643120     
   231.7460       6.362850       10.8986857803520     
   279.2180       6.874160       10.4120959693449     
   333.7960       7.417991       9.95531083844185     
   400.3210       8.050820       8.79167532093220     
   479.4880       8.733380       8.15361489831015     
