# extracted from file 'T5_front_zeus.dat'
# Zeus i-front velocities weren't presented in the paper, so I left them out as well.
# Time (Myr)     rI [kpc]       vI [km/s]     
    0.000000e+00   0.000000e+00            nan
    5.792600e-07   0.000000e+00            nan
    1.216550e-06   0.000000e+00            nan
    1.917680e-06   0.000000e+00            nan
    2.689080e-06   0.000000e+00            nan
    3.537800e-06   0.000000e+00            nan
    4.471600e-06   0.000000e+00            nan
    5.499050e-06   0.000000e+00            nan
    6.629560e-06   0.000000e+00            nan
    7.873510e-06   0.000000e+00            nan
    9.242320e-06   0.000000e+00            nan
    1.074860e-05   0.000000e+00            nan
    1.240610e-05   0.000000e+00            nan
    1.423030e-05   0.000000e+00            nan
    1.623790e-05   0.000000e+00            nan
    1.844750e-05   0.000000e+00            nan
    2.087950e-05   0.000000e+00            nan
    2.355650e-05   0.000000e+00            nan
    2.650340e-05   0.000000e+00            nan
    2.974770e-05   0.000000e+00            nan
    3.331960e-05   0.000000e+00            nan
    3.725260e-05   0.000000e+00            nan
    4.158370e-05   0.000000e+00            nan
    4.635360e-05   0.000000e+00            nan
    5.160760e-05   0.000000e+00            nan
    5.739550e-05   0.000000e+00            nan
    6.377250e-05   0.000000e+00            nan
    7.079990e-05   0.000000e+00            nan
    7.854530e-05   0.000000e+00            nan
    8.708400e-05   0.000000e+00            nan
    9.649920e-05   0.000000e+00            nan
    1.068840e-04   0.000000e+00            nan
    1.183410e-04   0.000000e+00            nan
    1.309840e-04   0.000000e+00            nan
    1.449430e-04   0.000000e+00            nan
    1.603590e-04   0.000000e+00            nan
    1.773920e-04   0.000000e+00            nan
    1.962210e-04   0.000000e+00            nan
    2.170470e-04   0.000000e+00            nan
    2.400950e-04   0.000000e+00            nan
    2.656200e-04   0.000000e+00            nan
    2.939100e-04   0.000000e+00            nan
    3.252910e-04   0.000000e+00            nan
    3.601360e-04   0.000000e+00            nan
    3.988690e-04   0.000000e+00            nan
    4.053220e-04   0.000000e+00            nan
    4.124140e-04   0.000000e+00            nan
    4.202080e-04   0.000000e+00            nan
    4.287710e-04   0.000000e+00            nan
    4.381790e-04   0.000000e+00            nan
    4.485140e-04   0.000000e+00            nan
    4.598650e-04   0.000000e+00            nan
    4.723320e-04   0.000000e+00            nan
    4.860210e-04   0.000000e+00            nan
    5.010500e-04   0.000000e+00            nan
    5.175460e-04   0.000000e+00            nan
    5.356510e-04   0.000000e+00            nan
    5.555150e-04   0.000000e+00            nan
    5.773040e-04   0.000000e+00            nan
    6.012010e-04   0.000000e+00            nan
    6.273990e-04   0.000000e+00            nan
    6.561140e-04   0.000000e+00            nan
    6.875770e-04   0.000000e+00            nan
    7.220380e-04   0.000000e+00            nan
    7.597700e-04   0.000000e+00            nan
    8.010670e-04   0.000000e+00            nan
    8.263030e-04   0.000000e+00            nan
    8.539770e-04   0.000000e+00            nan
    8.843160e-04   0.000000e+00            nan
    9.175660e-04   0.000000e+00            nan
    9.539950e-04   0.000000e+00            nan
    9.938920e-04   0.000000e+00            nan
    1.037570e-03   0.000000e+00            nan
    1.085370e-03   0.000000e+00            nan
    1.137660e-03   0.000000e+00            nan
    1.194830e-03   0.000000e+00            nan
    1.257310e-03   0.000000e+00            nan
    1.325550e-03   0.000000e+00            nan
    1.400050e-03   0.000000e+00            nan
    1.481330e-03   0.000000e+00            nan
    1.569970e-03   5.859370e-02            nan
    1.666560e-03   5.859370e-02            nan
    1.771760e-03   5.859370e-02            nan
    1.886270e-03   5.859370e-02            nan
    2.010830e-03   5.859370e-02            nan
    2.146250e-03   5.859370e-02            nan
    2.293390e-03   5.859370e-02            nan
    2.453180e-03   5.859370e-02            nan
    2.626610e-03   5.859370e-02            nan
    2.814770e-03   5.859370e-02            nan
    3.018850e-03   5.859370e-02            nan
    3.240120e-03   5.859370e-02            nan
    3.479990e-03   5.859370e-02            nan
    3.740010e-03   5.859370e-02            nan
    4.021880e-03   5.859370e-02            nan
    4.327480e-03   5.859370e-02            nan
    4.658870e-03   5.859370e-02            nan
    5.018360e-03   5.859370e-02            nan
    5.408480e-03   5.859370e-02            nan
    5.832020e-03   5.859370e-02            nan
    6.292060e-03   5.859370e-02            nan
    6.791980e-03   5.859370e-02            nan
    7.335460e-03   5.859370e-02            nan
    7.926520e-03   5.859370e-02            nan
    8.569530e-03   5.859370e-02            nan
    9.269250e-03   5.859370e-02            nan
    1.003080e-02   5.859370e-02            nan
    1.085930e-02   5.859370e-02            nan
    1.175730e-02   5.859370e-02            nan
    1.273000e-02   1.757810e-01            nan
    1.378300e-02   1.757810e-01            nan
    1.492210e-02   1.757810e-01            nan
    1.615330e-02   1.757810e-01            nan
    1.748330e-02   1.757810e-01            nan
    1.891910e-02   1.757810e-01            nan
    2.046830e-02   1.757810e-01            nan
    2.213900e-02   1.757810e-01            nan
    2.394040e-02   1.757810e-01            nan
    2.588250e-02   1.757810e-01            nan
    2.797610e-02   1.757810e-01            nan
    3.023390e-02   1.757810e-01            nan
    3.266990e-02   1.757810e-01            nan
    3.529980e-02   1.757810e-01            nan
    3.814200e-02   1.757810e-01            nan
    4.120120e-02   1.757810e-01            nan
    4.448830e-02   2.929690e-01            nan
    4.801970e-02   2.929690e-01            nan
    5.181340e-02   2.929690e-01            nan
    5.588850e-02   2.929690e-01            nan
    6.026630e-02   2.929690e-01            nan
    6.496960e-02   2.929690e-01            nan
    7.002390e-02   2.929690e-01            nan
    7.545790e-02   2.929690e-01            nan
    8.130390e-02   2.929690e-01            nan
    8.759960e-02   2.929690e-01            nan
    9.434370e-02   2.929690e-01            nan
    1.015570e-01   4.101560e-01            nan
    1.092720e-01   4.101560e-01            nan
    1.175210e-01   4.101560e-01            nan
    1.263450e-01   4.101560e-01            nan
    1.357870e-01   4.101560e-01            nan
    1.458950e-01   4.101560e-01            nan
    1.567290e-01   4.101560e-01            nan
    1.683600e-01   4.101560e-01            nan
    1.807760e-01   4.101560e-01            nan
    1.940050e-01   5.273440e-01            nan
    2.081010e-01   5.273440e-01            nan
    2.231230e-01   5.273440e-01            nan
    2.391410e-01   5.273440e-01            nan
    2.562430e-01   5.273440e-01            nan
    2.745420e-01   5.273440e-01            nan
    2.941080e-01   5.273440e-01            nan
    3.148840e-01   5.273440e-01            nan
    3.369480e-01   6.445310e-01            nan
    3.603910e-01   6.445310e-01            nan
    3.853310e-01   6.445310e-01            nan
    4.119340e-01   6.445310e-01            nan
    4.404270e-01   6.445310e-01            nan
    4.705940e-01   6.445310e-01            nan
    5.025390e-01   6.445310e-01            nan
    5.363990e-01   7.617190e-01            nan
    5.723750e-01   7.617190e-01            nan
    6.107940e-01   7.617190e-01            nan
    6.516500e-01   7.617190e-01            nan
    6.948010e-01   7.617190e-01            nan
    7.404280e-01   7.617190e-01            nan
    7.888180e-01   8.789060e-01            nan
    8.404850e-01   8.789060e-01            nan
    8.952610e-01   8.789060e-01            nan
    9.530020e-01   8.789060e-01            nan
    1.014000e+00   8.789060e-01            nan
    1.078770e+00   9.960940e-01            nan
    1.147940e+00   9.960940e-01            nan
    1.220700e+00   9.960940e-01            nan
    1.297350e+00   9.960940e-01            nan
    1.378540e+00   9.960940e-01            nan
    1.465380e+00   1.113280e+00            nan
    1.556560e+00   1.113280e+00            nan
    1.652500e+00   1.113280e+00            nan
    1.754040e+00   1.113280e+00            nan
    1.862420e+00   1.113280e+00            nan
    1.976060e+00   1.230470e+00            nan
    2.095620e+00   1.230470e+00            nan
    2.222480e+00   1.230470e+00            nan
    2.356930e+00   1.230470e+00            nan
    2.497880e+00   1.230470e+00            nan
    2.646510e+00   1.347660e+00            nan
    2.805220e+00   1.347660e+00            nan
    2.971240e+00   1.347660e+00            nan
    3.145670e+00   1.347660e+00            nan
    3.331060e+00   1.464840e+00            nan
    3.526120e+00   1.464840e+00            nan
    3.730610e+00   1.464840e+00            nan
    3.947230e+00   1.464840e+00            nan
    4.175790e+00   1.582030e+00            nan
    4.415110e+00   1.582030e+00            nan
    4.668360e+00   1.582030e+00            nan
    4.935440e+00   1.699220e+00            nan
    5.215010e+00   1.699220e+00            nan
    5.511170e+00   1.699220e+00            nan
    5.822460e+00   1.699220e+00            nan
    6.148560e+00   1.816410e+00            nan
    6.495330e+00   1.816410e+00            nan
    6.857420e+00   1.816410e+00            nan
    7.237740e+00   1.933590e+00            nan
    7.640770e+00   1.933590e+00            nan
    8.061390e+00   1.933590e+00            nan
    8.505690e+00   2.050780e+00            nan
    8.972380e+00   2.050780e+00            nan
    9.461340e+00   2.050780e+00            nan
    9.979540e+00   2.167970e+00            nan
    1.052000e+01   2.167970e+00            nan
    1.109120e+01   2.167970e+00            nan
    1.168940e+01   2.285160e+00            nan
    1.231740e+01   2.285160e+00            nan
    1.297980e+01   2.285160e+00            nan
    1.367210e+01   2.402340e+00            nan
    1.440520e+01   2.402340e+00            nan
    1.516960e+01   2.402340e+00            nan
    1.598010e+01   2.519530e+00            nan
    1.682430e+01   2.519530e+00            nan
    1.771590e+01   2.636720e+00            nan
    1.864800e+01   2.636720e+00            nan
    1.963020e+01   2.636720e+00            nan
    2.065900e+01   2.753910e+00            nan
    2.174240e+01   2.753910e+00            nan
    2.287760e+01   2.871090e+00            nan
    2.407360e+01   2.871090e+00            nan
    2.532600e+01   2.871090e+00            nan
    2.664780e+01   2.988280e+00            nan
    2.802970e+01   2.988280e+00            nan
    2.949260e+01   3.105470e+00            nan
    3.101840e+01   3.105470e+00            nan
    3.263040e+01   3.222660e+00            nan
    3.431660e+01   3.222660e+00            nan
    3.609360e+01   3.222660e+00            nan
    3.796180e+01   3.339840e+00            nan
    3.992290e+01   3.339840e+00            nan
    4.199710e+01   3.457030e+00            nan
    4.416700e+01   3.457030e+00            nan
    4.645490e+01   3.574220e+00            nan
    4.886690e+01   3.574220e+00            nan
    5.134940e+01   3.691410e+00            nan
    5.381630e+01   3.691410e+00            nan
    5.628970e+01   3.808590e+00            nan
    5.874190e+01   3.808590e+00            nan
    6.119970e+01   3.925780e+00            nan
    6.363330e+01   3.925780e+00            nan
    6.606940e+01   4.042970e+00            nan
    6.848570e+01   4.042970e+00            nan
    7.089420e+01   4.042970e+00            nan
    7.329220e+01   4.160160e+00            nan
    7.567090e+01   4.160160e+00            nan
    7.805720e+01   4.160160e+00            nan
    8.040990e+01   4.277340e+00            nan
    8.277430e+01   4.277340e+00            nan
    8.511000e+01   4.394530e+00            nan
    8.743000e+01   4.394530e+00            nan
    8.975740e+01   4.394530e+00            nan
