# Time (Myr)     rI [kpc]       vI [km/s]     
      1.00000     0.084113157      48.5235
      2.00000     0.099248381      15.2463
      3.00000      0.11529752      15.6504
      4.00000      0.13125919      15.5153
      5.00000      0.14703205      16.3983
      6.00000      0.16479967      17.7212
      7.00000      0.18327843      18.9284
      8.00000      0.20351514      19.7929
      9.00000      0.22376212      20.1525
      10.0000      0.24589066      20.3892
      15.0000      0.35516722      22.4203
      20.0000      0.47517952      26.0164
      25.0000      0.62123208      31.4167
