# Time (Myr)     rI [kpc]       vI [km/s]     
      1.00000     0.083138603      46.9154
      2.00000     0.095959265      13.1057
      3.00000      0.10994460      14.6186
      4.00000      0.12585957      15.1478
      5.00000      0.14092742      15.9980
      6.00000      0.15858142      17.1688
      7.00000      0.17604396      16.9877
      8.00000      0.19332754      17.5116
      9.00000      0.21186151      18.6718
      10.0000      0.23128042      18.9707
      15.0000      0.33440239      21.0585
      20.0000      0.44664181      22.5241
      25.0000      0.56475233      23.4526
