# extracted from file 'T6_front_flashHC.dat'
# Time (Myr)     rI [kpc]       vI [km/s]     
    0.000000e+00   0.000000e+00   1.000000e+04
    1.000698e+00   8.942180e-02   5.147060e+01
    2.001395e+00   1.052810e-01   1.534340e+01
    3.002093e+00   1.208060e-01   1.625690e+01
    4.002790e+00   1.385330e-01   1.762190e+01
    5.003488e+00   1.568510e-01   1.798670e+01
    6.004186e+00   1.753240e-01   1.830550e+01
    7.004883e+00   1.942930e-01   1.896740e+01
    8.005581e+00   2.141210e-01   2.024350e+01
    9.006279e+00   2.357010e-01   2.076670e+01
    1.000698e+01   2.565980e-01   2.128900e+01
    1.100767e+01   2.792460e-01   2.177260e+01
    1.200837e+01   3.011330e-01   2.189990e+01
    1.300907e+01   3.240410e-01   2.169990e+01
    1.400977e+01   3.455190e-01   2.147810e+01
    1.501046e+01   3.679740e-01   2.248910e+01
    1.601116e+01   3.915190e-01   2.369650e+01
    1.701186e+01   4.164440e-01   2.509510e+01
    1.801256e+01   4.428500e-01   2.621840e+01
    1.901325e+01   4.700720e-01   2.693250e+01
    2.001395e+01   4.979390e-01   2.693950e+01
    2.101465e+01   5.251760e-01   2.676410e+01
    2.201535e+01   5.526840e-01   2.736750e+01
    2.301605e+01   5.811540e-01   2.821740e+01
    2.401674e+01   6.104010e-01   2.902810e+01
    2.501744e+01   6.405300e-01   3.000690e+01
    2.601814e+01   6.717790e-01   3.110380e+01
    2.701884e+01   7.041510e-01   3.192540e+01
    2.801953e+01   7.370810e-01   3.221740e+01
    2.902023e+01   7.700500e-01   3.236340e+01
