# extracted from file 'T6_front_LICORICE.dat'
# Time (Myr)     rI [kpc]       vI [km/s]     
    1.000000e+00   8.414600e-02   0.000000e+00
    2.000000e+00   9.557240e-02   1.232904e+01
    3.000000e+00   1.093610e-01   1.695926e+01
    4.000000e+00   1.302570e-01   1.897004e+01
    5.000000e+00   1.481580e-01   1.748851e+01
    6.000000e+00   1.660240e-01   1.813540e+01
    7.000000e+00   1.852480e-01   1.949518e+01
    8.000000e+00   2.058950e-01   2.037922e+01
    9.000000e+00   2.269270e-01   2.060365e+01
    1.000000e+01   2.480330e-01   2.090582e+01
    1.100000e+01   2.696830e-01   2.202260e+01
    1.200000e+01   2.930730e-01   2.307728e+01
    1.300000e+01   3.168800e-01   2.324988e+01
    1.400000e+01   3.406230e-01   2.323130e+01
    1.500000e+01   3.643920e-01   2.353445e+01
    1.600000e+01   3.887550e-01   2.420188e+01
    1.700000e+01   4.138890e-01   2.475733e+01
    1.800000e+01   4.393880e-01   2.518664e+01
    1.900000e+01   4.654000e-01   2.581837e+01
    2.000000e+01   4.921910e-01   2.626576e+01
    2.100000e+01   5.191180e-01   2.677379e+01
    2.200000e+01   5.469480e-01   2.729257e+01
    2.300000e+01   5.749360e-01   2.764120e+01
    2.400000e+01   6.034790e-01   2.829445e+01
    2.500000e+01   6.328030e-01   2.884403e+01
    2.600000e+01   6.624700e-01   2.921368e+01
    2.700000e+01   6.925500e-01   2.963614e+01
    2.800000e+01   7.230810e-01   2.978332e+01
    2.900000e+01   7.534620e-01   2.945132e+01
    3.000000e+01   7.833140e-01   0.000000e+00
