# extracted from file 'T6_front_zeus.dat'
# no velocities were available, so I zero padded the data.
# Time (Myr)     rI [kpc]       vI [km/s]     
    0.000000e+00   0.000000e+00   0.000000e+00
    3.521890e-09   0.000000e+00   0.000000e+00
    7.395970e-09   0.000000e+00   0.000000e+00
    1.165750e-08   0.000000e+00   0.000000e+00
    1.634510e-08   0.000000e+00   0.000000e+00
    2.150150e-08   0.000000e+00   0.000000e+00
    2.717360e-08   0.000000e+00   0.000000e+00
    3.341290e-08   0.000000e+00   0.000000e+00
    4.027610e-08   0.000000e+00   0.000000e+00
    4.782560e-08   0.000000e+00   0.000000e+00
    5.613010e-08   0.000000e+00   0.000000e+00
    6.526510e-08   0.000000e+00   0.000000e+00
    7.531360e-08   0.000000e+00   0.000000e+00
    8.636700e-08   0.000000e+00   0.000000e+00
    9.852570e-08   0.000000e+00   0.000000e+00
    1.119000e-07   0.000000e+00   0.000000e+00
    1.266130e-07   0.000000e+00   0.000000e+00
    1.427960e-07   0.000000e+00   0.000000e+00
    1.605980e-07   0.000000e+00   0.000000e+00
    1.801800e-07   0.000000e+00   0.000000e+00
    2.017200e-07   0.000000e+00   0.000000e+00
    2.254150e-07   0.000000e+00   0.000000e+00
    2.514790e-07   0.000000e+00   0.000000e+00
    2.801500e-07   0.000000e+00   0.000000e+00
    3.116870e-07   0.000000e+00   0.000000e+00
    3.463790e-07   0.000000e+00   0.000000e+00
    3.845410e-07   0.000000e+00   0.000000e+00
    4.265190e-07   0.000000e+00   0.000000e+00
    4.726950e-07   0.000000e+00   0.000000e+00
    5.234890e-07   0.000000e+00   0.000000e+00
    5.793640e-07   0.000000e+00   0.000000e+00
    6.408260e-07   0.000000e+00   0.000000e+00
    7.084360e-07   0.000000e+00   0.000000e+00
    7.828080e-07   0.000000e+00   0.000000e+00
    8.646190e-07   0.000000e+00   0.000000e+00
    9.546120e-07   0.000000e+00   0.000000e+00
    1.053610e-06   0.000000e+00   0.000000e+00
    1.162500e-06   0.000000e+00   0.000000e+00
    1.282290e-06   0.000000e+00   0.000000e+00
    1.414070e-06   0.000000e+00   0.000000e+00
    1.559020e-06   0.000000e+00   0.000000e+00
    1.718470e-06   0.000000e+00   0.000000e+00
    1.893880e-06   0.000000e+00   0.000000e+00
    2.086840e-06   0.000000e+00   0.000000e+00
    2.299100e-06   0.000000e+00   0.000000e+00
    2.532610e-06   0.000000e+00   0.000000e+00
    2.789480e-06   0.000000e+00   0.000000e+00
    3.072060e-06   0.000000e+00   0.000000e+00
    3.382920e-06   0.000000e+00   0.000000e+00
    3.724910e-06   0.000000e+00   0.000000e+00
    4.101140e-06   0.000000e+00   0.000000e+00
    4.515080e-06   0.000000e+00   0.000000e+00
    4.970580e-06   0.000000e+00   0.000000e+00
    5.471960e-06   0.000000e+00   0.000000e+00
    6.024150e-06   0.000000e+00   0.000000e+00
    6.632980e-06   0.000000e+00   0.000000e+00
    7.305530e-06   0.000000e+00   0.000000e+00
    8.050760e-06   0.000000e+00   0.000000e+00
    8.880540e-06   0.000000e+00   0.000000e+00
    9.810970e-06   0.000000e+00   0.000000e+00
    1.086480e-05   0.000000e+00   0.000000e+00
    1.207460e-05   0.000000e+00   0.000000e+00
    1.348690e-05   0.000000e+00   0.000000e+00
    1.516850e-05   3.124750e-03   0.000000e+00
    1.720780e-05   3.124750e-03   0.000000e+00
    1.970670e-05   3.124750e-03   0.000000e+00
    2.272090e-05   3.124750e-03   0.000000e+00
    2.348340e-05   3.124750e-03   0.000000e+00
    2.421310e-05   3.124750e-03   0.000000e+00
    2.491130e-05   3.124750e-03   0.000000e+00
    2.557900e-05   3.124750e-03   0.000000e+00
    2.621710e-05   3.124750e-03   0.000000e+00
    2.682640e-05   3.124750e-03   0.000000e+00
    2.740760e-05   3.124750e-03   0.000000e+00
    2.796150e-05   3.124750e-03   0.000000e+00
    2.848860e-05   3.124750e-03   0.000000e+00
    2.898950e-05   3.124750e-03   0.000000e+00
    2.946480e-05   3.124750e-03   0.000000e+00
    2.991510e-05   3.124750e-03   0.000000e+00
    3.034090e-05   3.124750e-03   0.000000e+00
    3.074290e-05   3.124750e-03   0.000000e+00
    3.112180e-05   3.124750e-03   0.000000e+00
    3.147830e-05   3.124750e-03   0.000000e+00
    3.181330e-05   3.124750e-03   0.000000e+00
    3.212800e-05   3.124750e-03   0.000000e+00
    3.242330e-05   3.124750e-03   0.000000e+00
    3.270000e-05   3.124750e-03   0.000000e+00
    3.296030e-05   3.124750e-03   0.000000e+00
    3.320830e-05   3.124750e-03   0.000000e+00
    3.345090e-05   3.124750e-03   0.000000e+00
    3.369660e-05   3.124750e-03   0.000000e+00
    3.395380e-05   3.124750e-03   0.000000e+00
    3.422970e-05   3.124750e-03   0.000000e+00
    3.452980e-05   3.124750e-03   0.000000e+00
    3.485840e-05   3.124750e-03   0.000000e+00
    3.521920e-05   3.124750e-03   0.000000e+00
    3.561580e-05   3.124750e-03   0.000000e+00
    3.605200e-05   3.124750e-03   0.000000e+00
    3.653180e-05   3.124750e-03   0.000000e+00
    3.705960e-05   3.124750e-03   0.000000e+00
    3.764020e-05   3.124750e-03   0.000000e+00
    3.827890e-05   3.124750e-03   0.000000e+00
    3.898140e-05   3.124750e-03   0.000000e+00
